"","fb_organic_total_impressions_alphas","fb_organic_total_impressions_gammas","fb_organic_total_impressions_thetas","fb_paid_spend_alphas","fb_paid_spend_gammas","fb_paid_spend_thetas","google_organic_total_impressions_alphas","google_organic_total_impressions_gammas","google_organic_total_impressions_thetas","google_paid_spend_alphas","google_paid_spend_gammas","google_paid_spend_thetas","instagram_organic_total_impressions_alphas","instagram_organic_total_impressions_gammas","instagram_organic_total_impressions_thetas","mountain_paid_spend_alphas","mountain_paid_spend_gammas","mountain_paid_spend_thetas","pinterest_paid_spend_alphas","pinterest_paid_spend_gammas","pinterest_paid_spend_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",2.4515575,0.63201,0.0816408,1.9243575,0.8731236,0.038934,2.431525,0.8360887,0.0425697,1.320785,0.9683719,0.2331993,0.7021425,0.6162894,0.002390994,2.7502775,0.9901265,0.1028055,0.9765925,0.9783343,0.0794181,0.7688531,0.631171919131703,0.710532921199362,0.532490059715002,0.10434918967011,0.663973786638199,1.08076964125526,0.663973786638199,0.0101816750201976,0,10998.5580581536,0.00755335,1437232.53871745,1e-04,1,0.108515024185181,174.848031520844,"1_1320_1",1,1320,1,1320,FALSE,TRUE,3,0.0250077408199291,2,FALSE
"2",2.4039575,0.602036,0.0855753,1.9418325,0.9007435,0.0376674,2.5313075,0.8257343,0.0426138,1.3324025,0.9682431,0.2369481,0.688509,0.5757034,0.00667638,2.672525,0.86021,0.0831612,0.9495225,0.9813821,0.0768444,0.7691576,0.634369696135345,0.688998901261032,0.541082437173168,0.103870360217887,0.657890073720417,1.06851068186629,0.657890073720417,0.010799040425102,0,10307.6632392313,0.00707259,1437232.53871745,1e-04,1,0.11148476600647,179.700625896454,"1_1357_1",1,1357,1,1357,FALSE,TRUE,2,0.0225217232571145,2,FALSE
"3",1.918355,0.3888377,0.185979,2.5842975,0.9473229,0.0390072,2.19974,0.8243168,0.047058,1.5771125,0.9907565,0.2492682,0.5915455,0.6357655,0.1913622,2.158175,0.3981568,0.052518,0.5237618,0.9483029,0.0633915,0.7702307,0.651985930549937,0.709658943102387,0.568436939330086,0.10133721088507,0.635530849556103,1.03841028851395,0.635530849556103,0.0174257254948216,0,6177.44124181266,0.00419857,1437232.53871745,1e-04,1,0.108334064483643,189.826280355453,"1_1434_1",1,1434,1,1434,FALSE,TRUE,3,0.0174652597598329,1,TRUE
"4",2.4515575,0.63201,0.0816408,1.9243575,0.8731236,0.02085111,2.53892,0.8449325,0.0425697,1.320785,0.9683719,0.2331993,0.7021425,0.6162894,0.002390994,2.7502775,0.9901265,0.1028055,0.9765925,0.9783343,0.0794181,0.7688531,0.631330890297756,0.712191212744303,0.534856840929902,0.104326699110026,0.662069176987469,1.07803045787033,0.662069176987469,0.0105141297938561,0,10998.5580581536,0.00755335,1437232.53871745,1e-04,1,0.1372230052948,190.656823635101,"1_1440_1",1,1440,1,1440,FALSE,TRUE,2,0.0244659497855447,2,FALSE
"5",2.3579875,0.6109715,0.0963312,1.9695625,0.9052767,0.0543846,2.4468375,0.8409306,0.0441918,1.336665,0.9683145,0.2201625,0.70816425,0.5975847,0.02472303,2.64506,0.8684651,0.0814347,1.039605,0.9463142,0.0786042,0.7690199,0.633038066229995,0.713023670808956,0.538697293896526,0.104084868850804,0.661110999266086,1.07357085615005,0.661110999266086,0.0110375917947349,0,10621.5234365285,0.00729099,1437232.53871745,1e-04,1,0.112109661102295,205.220082521439,"1_1547_1",1,1547,1,1547,FALSE,TRUE,3,0.0235880756983232,2,FALSE
"6",2.4515575,0.63201,0.0816408,1.9243575,0.8731236,0.02085111,2.53892,0.8449325,0.0425697,1.320785,0.9725068,0.2437254,0.67094275,0.5676793,0.02152305,2.5057125,0.8467378,0.0790962,0.72146475,0.9585635,0.075711,0.7687865,0.636055509914363,0.718807172815569,0.545824840324742,0.103656052533374,0.654415329347505,1.06524474631247,0.654415329347505,0.0111219825195425,0,9628.79685369445,0.0066002,1437232.53871745,1e-04,1,0.111661434173584,214.768582344055,"1_1620_1",1,1620,1,1620,FALSE,TRUE,2,0.0218789416478239,2,FALSE
"7",1.7047025,0.5122932,0.043119,2.9990525,0.9936622,0.00955902,1.8391975,0.8552806,0.0534726,1.9222375,0.9997102,0.2796693,0.578847,0.3994189,0.0914184,2.5978575,0.9186033,0.1103706,1.8422375,0.8243336,0.0686907,0.7701128,0.660105332218792,0.719063396469902,0.548498708053219,0.100148101723408,0.625153365805206,1.06212675504949,0.625153365805206,0.0594373976082071,0,3792.46301455746,0.00253898,1437232.53871745,1e-04,1,0.109859943389893,223.781657218933,"1_1689_1",1,1689,1,1689,TRUE,TRUE,4,0.0347831703656367,1,FALSE
"8",1.9535,0.3924735,0.2492949,2.7876425,0.9513577,0.0893481,2.04201,0.835262,0.0493086,1.7259825,0.9911702,0.2543112,0.5756495,0.5615417,0.01013391,2.883245,0.7921812,0.1045542,0.5913915,0.9732628,0.0651471,0.7704227,0.652951529762529,0.714979778342116,0.553716982411134,0.101196528211076,0.629680503570213,1.05597109553459,0.629680503570213,0.0261336700828412,0,5896.6915708237,0.00400321,1437232.53871745,1e-04,1,0.108609437942505,224.422437667847,"1_1694_1",1,1694,1,1694,FALSE,TRUE,4,0.0227227849019804,1,FALSE
"9",1.9176825,0.32936941,0.2482944,2.91398,0.9199095,0.086154,1.8790425,0.9162877,0.0535434,1.9743925,0.9923882,0.2680119,0.605961,0.425174,0.02072817,2.26858,0.8056254,0.090612,2.3418225,0.7215701,0.0702906,0.7702724,0.656692742011696,0.719540464719537,0.549520133217223,0.100649596601643,0.624622342899802,1.06092465741618,0.624622342899802,0.094888652510154,0,4485.94459334757,0.00302154,1437232.53871745,1e-04,1,0.11898398399353,225.494396924973,"1_1702_1",1,1702,1,1702,TRUE,TRUE,4,0.0495929853039593,1,FALSE
"10",1.90891,0.33817891,0.267378,2.844115,0.9023941,0.1267734,1.9223775,0.9441974,0.0500226,1.6791875,0.9848548,0.2583498,0.62838475,0.4530508,0.0371439,0.67919125,0.4280636,0.0001324713,2.679775,0.6193862,0.0705972,0.7701377,0.655945733692116,0.715915723241585,0.568565813219768,0.100759039715689,0.628645785981268,1.03825523126123,0.628645785981268,0.0333394155642158,0,4768.34691647431,0.00321805,1437232.53871745,1e-04,1,0.119234085083008,226.153728246689,"1_1707_1",1,1707,1,1707,TRUE,TRUE,4,0.0218941181698344,1,FALSE
