"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"fb_paid_spend","1_1707_1","revenue","fb_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,746.791733333333,1.4,1493.58346666667,3,0.0999999999999999,106.684533333333,2.2,2347.05973333333,1093688.54,3247463.81,1703.56470404984,5058.35484423676,0.336782364327564,32005.36,81941.6,1066.84533333333,2731.38666666667,0.390587442764115,1066.84533333333,2731.38666666667,0.390587442764115,81941.6,492.600162712856,1853.69844456035,1.2805474856201,55610.9533368106,0.265739103443919,0.461735311878563,2.16574295765146,2731.38666666667,0,1466.26172242814,0.374390154425512,2731.3866666649,-6.47815134868779e-13,0.536819535777586,81941.5999999469,2347.05973333333,1.2,2731.38666666553,-4.14890344302421e-13,0.859292374081409,81941.599999966,1181.12830371422,2.19237195806318,3045.67957285561,91370.3871856683,0.387804519635267,0.805537160008692,1.2414076589455,1.39774241488165,4058.16987991077,4.28950680842263,5431.26308090764,162937.892427229,0.747187131143828,1.72904414075022,0.578354234245349,7.23826337685629,0.643028606833602,1.92996042417017
"google_paid_spend","1_1707_1","revenue","google_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,1130.36676666667,1.4,2260.73353333333,3,0.0999999999999999,161.480966666666,2.2,3552.58126666667,2017462.48,3247463.81,3142.46492211838,5058.35484423676,0.621242482760724,48444.29,81941.6,1614.80966666667,2731.38666666667,0.591205077762699,1614.80966666667,2731.38666666667,0.591205077762699,81941.6,1361.0982818475,1853.69844456035,1.34395176330827,55610.9533368106,0.734260896556081,0.842884650707542,1.18640195803847,2731.38666666667,0,1130.36676666667,-0.3,2731.3866666649,-6.47815134868779e-13,0.413843554434158,81941.5999999469,172.564082864911,-0.893136580473213,2731.38666666553,-4.14890344302421e-13,0.0631781962513482,81941.599999966,770.418595479603,1.08691300860346,3045.67957285561,91370.3871856683,0.25295457944621,0.681565150532059,1.46721116714867,-0.433972839614587,45.4413418267195,0.353944177943781,5431.26308090764,162937.892427229,0.00836662506488741,0.263330242726654,3.79751292386888,-0.966614209691721,0.643028606833602,1.92996042417017
"mountain_paid_spend","1_1707_1","revenue","mountain_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,67.3790887850467,1.4,134.758177570093,3,0.0999999999999999,9.62558411214952,2.2,211.76285046729,61796.25,3247463.81,96.2558411214953,5058.35484423676,0.019029080419529,0,81941.6,0,2731.38666666667,0,0,2731.38666666667,0,81941.6,3.14685077490439e-82,1853.69844456035,57.7924965349858,55610.9533368106,1.69760663291204e-85,Inf,0,2731.38666666667,0,134.758177570093,Inf,2731.3866666649,-6.47815134868779e-13,0.0493369097882568,81941.5999999469,211.76285046729,Inf,2731.38666666553,-4.14890344302421e-13,0.0775294296672426,81941.599999966,1094.13267366179,3.65880615372271,3045.67957285561,91370.3871856683,0.359240900918523,8.11923026409798,0.123164384735072,3.47691311703534e+84,1327.65185917015,2.5240904930788,5431.26308090764,162937.892427229,0.244446243791284,6.26952204430791,0.159501791832425,4.21898575476776e+84,0.643028606833602,1.92996042417017
"pinterest_paid_spend","1_1707_1","revenue","pinterest_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,34.8121666666667,1.4,69.6243333333333,3,0.0999999999999999,4.97316666666666,2.2,109.409666666667,74516.54,3247463.81,116.06937694704,5058.35484423676,0.0229460724921828,1491.95,81941.6,49.7316666666667,2731.38666666667,0.0182074794731858,49.7316666666667,2731.38666666667,0.0182074794731858,81941.6,0,1853.69844456035,0,55610.9533368106,0,0,Inf,2731.38666666667,0,0,-1,2731.3866666649,-6.47815134868779e-13,0,81941.5999999469,0,-1,2731.38666666553,-4.14890344302421e-13,0,81941.599999966,0,0,3045.67957285561,91370.3871856683,0,NA,NA,NA,0,0,5431.26308090764,162937.892427229,0,NA,NA,NA,0.643028606833602,1.92996042417017
