"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_S","ooh_S","print_S","facebook_S","search_S","cluster","top_sol"
"1","1_100_1",0,0.674930247474251,1.26537863331476,1.59322218245688,0.23428015986099,0.0203666447340788,0.0422824721494902,0.0131175236033084,0.00878721253641699,0.0147630999124711,1,FALSE
"2","1_101_1",0,0.600914637579837,1.26443892236802,1.52534367558283,0.230864314787413,0.0294580748732246,0.135731499916556,0.0332628828448918,0.0258866692600319,0.0408399979401352,1,FALSE
"3","1_102_1",0,0.660640244279444,0.861763592042096,0.717638607117801,0.127795810669456,1,0.77113287761952,0.672504509585087,0.753245319551599,0.686721523383381,3,FALSE
"4","1_19_1",0,0.698771931655693,1.34460954514449,1.57816949780978,0.225153221216258,0.0290523350839364,0.0664010653319508,0.0711425878967159,0.0490585508900983,0.0610290814408397,1,FALSE
"5","1_21_1",0,0.63771773492096,1.26770790503635,1.53107605305578,0.231612685920104,0.0309499565953924,0.0815626682357329,0.0263536626400968,0.0197591507299497,0.0282834712688432,1,FALSE
"6","1_23_1",0,0.701725024228566,1.30348766686507,1.58110830349226,0.22376565861227,0.0692343604022221,0.0489187832832637,0.0721112282111928,0.043736457020189,0.0730636022168085,1,FALSE
"7","1_28_1",0,0.698075218595879,1.25040581205444,1.46666467651034,0.22408730029073,0.0554280410008061,0.0660591339398651,0.051714677114979,0.0374247455095448,0.0774673492846703,1,FALSE
"8","1_3_1",0,0.725704071051826,1.25077167529875,1.4791210618077,0.226147526889001,0.0750234502203478,0.0116913093179794,0.0898472708283164,0.0513759991431645,0.0636497438940687,1,FALSE
"9","1_33_1",0,0.724443332489157,0.931802796038582,0.89856676887684,0.152297354218394,0.521290027110999,0.183062495743633,0.668494982833566,0.475588404229491,0.643814951709015,3,FALSE
"10","1_34_1",0,0.576994868975713,1.28927428180293,1.55600806148774,0.233510614067747,0.0228520643806944,0.0981728600158238,0.0110204440366891,0.000363651607200177,0.00791871026085918,1,FALSE
"11","1_35_1",0,0.703974360165585,1.26489121082369,1.51811030336624,0.230592103702206,0.0351495903817524,0.0138113224653742,0.0488491627209641,0.0338128475860885,0.0114549683499547,1,FALSE
"12","1_37_1",0,0.740904256629603,1.22578636849157,1.43209855025009,0.216146985505265,0.0707482221000094,0.0543718151618347,0.136716115404874,0.0796229464315661,0.148246683340207,1,FALSE
"13","1_38_1",0,0.738912730488116,1.2312057781514,1.44329267486162,0.220198609254458,0.144617117125634,0,0.0973620858863388,0.093421573359181,0.100810993395234,1,FALSE
"14","1_39_1",0,0.721505186875432,1.24894060834725,1.47034185109113,0.225692055087941,0.0394914671644026,0.0458144101104296,0.0710185192281048,0.0641077486449935,0.0708105268114485,1,FALSE
"15","1_40_1",0,0.684670562127482,1.26477955217795,1.59105269734999,0.234129915719085,0.0183972967894025,0.0425961458847752,0,0.0105637626354515,0.0175874334760198,1,FALSE
"16","1_41_1",0,0.734214625436729,1.25409949816756,1.48445523306887,0.227130572161371,0.084920938382378,0.00306177978269236,0.0596734283808069,0.0655488310981848,0.0609255899287556,1,FALSE
"17","1_44_1",0,0.650008186895986,1.29423834895928,1.58478977376826,0.230684984263602,0.0314660299362418,0.0813076459264281,0.022773793254707,0.0063580939933137,0.0374888737888877,1,FALSE
"18","1_49_1",0,0.691660438098425,1.19401502161303,1.35788726494642,0.196079516315491,0.1343282605545,0.274246657565473,0.30504343713385,0.143344288797433,0.332196552949143,2,FALSE
"19","1_5_1",0,0.70977588117864,1.26018773167515,1.48216022302839,0.227196816251158,0.0555061627109264,0.0303774280445522,0.0866329359197518,0.0558288863341531,0.0540071690431211,1,FALSE
"20","1_51_1",0,0.493573151360372,1.26790296626007,1.53374567048194,0.231658016524945,0.023656852623648,0.247124046361259,0.020786559434781,0.0196728323455837,0.0360289166058119,1,FALSE
"21","1_52_1",0,0.648727090377814,1.79042878249585,1.4315369440465,0.223703498901686,0.0266340740529108,0.178514135191716,0.0237766046799035,0.0576527059255791,0.0954887470630031,1,FALSE
"22","1_54_1",0,0.703098706402947,1.17637849139286,1.35301246948237,0.201822881947343,0.132867760216423,0.208655582509878,0.238169998631915,0.184664782111252,0.292922409746456,2,FALSE
"23","1_55_1",0,0.702610079798565,1.27653927386662,1.52932748176715,0.231616187960675,0.0327502839174678,0.0222524525644216,0.0332453004455449,0.0217921444922264,0.0211568091795149,1,FALSE
"24","1_63_1",0,0.668782824758876,0.917595640962716,0.905980073146116,0.15109067914681,0.512854007240964,0.567910522008966,0.572373098595202,0.596110481597546,0.634137362180132,3,FALSE
"25","1_64_1",0,0.519608503351132,1.28655223629627,1.55393937425288,0.233690945889472,0.021061191542735,0.166596918656839,0.0106306472920189,0.00701298694804577,0.0166060383660899,1,FALSE
"26","1_65_1",0,0.646697972234793,1.25351207154144,1.4697885213765,0.227297340434821,0.0555369400994268,0.0994189620477655,0.0869426519621516,0.0559647392465285,0.0540043103922816,1,FALSE
"27","1_66_1",0,0.687639069916551,1.26452089933066,1.51672215457294,0.227010390580424,0.0439850860900358,0.0712944263921842,0.0647173639151503,0.0559391038284817,0.0638678768690386,1,FALSE
"28","1_68_1",0,0.626235703534659,1.28406636428079,1.54965442009891,0.23314093854638,0.0190446658589626,0.0840190377118134,0.00523920852579146,0.019267983179525,0.0166881058674355,1,FALSE
"29","1_69_1",0,0.749766875248913,1.25296468650923,1.483532567299,0.226194620369909,0.039588471968517,0.045835122398679,0.0491032097322961,0.0643001860305829,0.101900564266522,1,FALSE
"30","1_70_1",0,0.678233296210084,1.2646375690088,1.59096123428412,0.234127456476879,0.018398098228422,0.0447047070627183,0.014807068215147,0.0105555902727919,0.0175988968934084,1,FALSE
"31","1_73_1",0,0.517523414160824,1.35805942681814,1.47190195234697,0.203574768617397,0.119909166153002,0.717997463155198,0.133630000881838,0.131085520717279,0.251146774170882,2,FALSE
"32","1_74_1",0,0.666024170362357,1.29409322059081,1.58407466803098,0.230682147421347,0.0314644915921418,0.0681427100191525,0.0227690178395413,0.00635834777090452,0.0374657139542018,1,FALSE
"33","1_75_1",0,0.693939993139624,1.25474821263528,1.48020275802041,0.227148262913694,0.0339509030653999,0.0551776319712615,0.12913479456579,0.0518360286785216,0.0536102947023918,1,FALSE
"34","1_76_1",0,0.691278789659148,1.2398430387894,1.5344365394922,0.229502640748551,0.0415319038708707,0.0480187694054884,0.0835642531387602,0.0399824082727946,0.0475411746956701,1,FALSE
"35","1_78_1",0,0.60128382347218,1.00211247734076,1.01756000008749,0.160733716177146,0.687333879565613,0.982702824322955,0.628376000509074,0.494603004642468,0.550198276810571,3,FALSE
"36","1_79_1",0,0.641562941784231,1.26842130699272,1.52938694833744,0.230005480603105,0.028831281428418,0.121433664786086,0.0448236858548119,0.0177440175195438,0.0601833964409112,1,FALSE
"37","1_8_1",0,0.726816883616464,1.22100858701273,1.40215936363037,0.218031468069206,0.0689938848899225,0.0612983106821168,0.0752794575994412,0.10822300060411,0.117458071867417,1,FALSE
"38","1_80_1",0,0.604648374087986,1.27453232915072,1.5222498836572,0.230879125369855,0.0274037189878918,0.158154792301192,0.0747401578635616,0.033117377671882,0.0566313653193714,1,FALSE
"39","1_81_1",0,0.632558411891305,1.24240737245871,1.49588422887145,0.2215246894088,0.116433883261724,0.178876134371186,0.136964404519881,0.130349551061072,0.0954756929442989,1,FALSE
"40","1_82_1",0,0.589548079306984,1.78479160045947,1.42873000365659,0.222964262330639,0.0560839291028155,0.178212920013038,0.023788227401992,0.0573878904600126,0.0561796348875918,1,FALSE
"41","1_83_1",0,0.698985263688838,1.29030153803637,1.49362503982545,0.231025200662021,0.0244561018947028,0.0507157403536847,0.0272972982254662,0.0233967328171277,0.0408779824563579,1,FALSE
"42","1_84_1",0,0.739572054307463,1.16598794088292,1.3341990218341,0.201280413295122,0.132204827670111,0.127203649049861,0.218442037115302,0.286758788088764,0.289896252061712,2,FALSE
"43","1_85_1",0,0.637363453560437,1.49243254626994,1.47904943404812,0.225562469243458,0.0385517824699905,0.0937251808983472,0.0455366746801544,0.0172785792252934,0.041860364977679,1,FALSE
"44","1_86_1",0,0.713766034335862,1.23778112947678,1.45562685578551,0.223618293250699,0.113876915768405,0.0357796857995012,0.12774479974711,0.111401107157374,0.0925348105161562,1,FALSE
"45","1_87_1",0,0.693299548777389,1.14511192799499,1.30035117042667,0.197721763584802,0.192607731376078,0.210055353584055,0.275524484550498,0.271963551621085,0.289893352479846,2,FALSE
"46","1_88_1",0,0.69619405833748,1.09606418092981,1.25584144701658,0.190844012933044,0.249883248291782,0.233823986631977,0.2076589390567,0.297280006214403,0.344282793889789,2,FALSE
"47","1_89_1",0,0.653154642398035,1.35950051558931,1.21976567124874,0.197334448752981,0.28279321102954,0.248022497629435,0.311597831931201,0.215935980141221,0.208005565290576,2,FALSE
"48","1_92_1",0,0.748786665942018,1.07953083667844,1.14274704948238,0.186694426218156,0.236072588419701,0.0974853271153489,0.355289368822502,0.525818339362708,0.33265295012384,2,FALSE
"49","1_93_1",0,0.614498468806512,0.923256372978181,0.911065959138992,0.15055717911694,0.511167585021051,0.956865716343175,0.602403314094474,0.590654745672559,0.632280404376528,3,TRUE
"50","1_94_1",0,0.480899517727478,1.28463199928132,1.54748483833896,0.233400161103015,0.021004172214451,0.166505754789103,0.0107460602491489,0.0069666043265163,0,1,FALSE
"51","1_95_1",0,0.668753563006586,0.725046296647182,0.543997695682759,0.0916525331889379,0.547011629511384,1,0.890468910028942,1,1,3,FALSE
"52","1_96_1",0,0.681767184997213,1.26174669807406,1.5057092651956,0.227009610040941,0.044012118258528,0.0713988320729929,0.0838405192312107,0.0559345611116071,0.0596235112413923,1,FALSE
"53","1_97_1",0,0.58535330319802,1.2910008872562,1.58033340900944,0.231788740632693,0.0204732495239401,0.145008327533592,0.0193515185916424,0.0248289229309592,0.0331127160439327,1,FALSE
"54","1_98_1",0,0.642127386317357,1.18550793162304,1.43996740273182,0.214550494902071,0.186501406745498,0.213815281711786,0.187702551160586,0.129350921107975,0.160925500623439,2,FALSE
"55","1_99_1",0,0.633585113741051,1.4703724703571,1.43119369272995,0.221939740642837,0.0309047623756137,0.167303504046632,0.0689092651433407,0.0517340848198988,0.0828092490276397,1,FALSE
"56","2_1_1",0,0.702737621692808,1.26455959356023,1.49717362244637,0.228057802699808,0.0462145979583371,0.0610768380996542,0.0790623611755184,0.0419851086274451,0.0752280330779684,1,FALSE
"57","2_100_1",0,0.643250692820804,1.79891397714006,1.44674396636172,0.226942242208034,0.0168340003053844,0.0792096051871073,0.141068644526471,0.0555397991363893,0.00833216308486858,1,FALSE
"58","2_101_1",0,0.699647146863678,0.815748145338631,0.613087240270331,0.110110505165719,0.918953561730976,0.463784034556909,0.999134485032061,0.6801754258822,0.936725453596855,3,FALSE
"59","2_102_1",0,0.657158181121958,1.40846696240913,1.63213433279855,0.221437402177136,0.0541370776759299,0.100674031634605,0.0460612567312146,0.0367147127759605,0.0665951795318517,1,FALSE
"60","2_13_1",0,0.649729363455537,1.37516621460875,1.55800693650784,0.216183612075626,0.0693854440217995,0.144909681450315,0.136955607631663,0.0570047625910585,0.105584803244604,1,FALSE
"61","2_28_1",0,0.704862278671055,1.26099417035094,1.49465053134251,0.227207454931495,0.0450654355981079,0.0594148904659646,0.065080083764036,0.0402865274156076,0.0733295579168056,1,FALSE
"62","2_29_1",0,0.553739548486615,1.38206917011016,1.5772293601588,0.216208769499988,0.0655869817221022,0.314309867694964,0.07060555184437,0.0568949766766414,0.10919461866375,1,FALSE
"63","2_3_1",0,0.683880184059517,1.24862533684753,1.47673403374385,0.224163931253059,0.0801316249452819,0.0778230314999163,0.187250424886206,0.0668231632470606,0.0950608673060586,1,FALSE
"64","2_30_1",0,0.713795578812697,1.27268498390677,1.51912179776954,0.23096292357222,0.0470960230147276,0.00824545265828795,0.0772306428318119,0.0623089462544929,0.00995716679358884,1,FALSE
"65","2_31_1",0,0.714656446736391,1.26207718422118,1.49052035862229,0.227609891115875,0.0461118215849691,0.0290663653805146,0.290058875943477,0.0498027367904292,0.0661487011304595,1,FALSE
"66","2_33_1",0,0.684876246251557,1.24885380949505,1.47682282138587,0.224213499179645,0.0771387597808627,0.0771407844096911,0.185685519710805,0.0692148939188014,0.0939833039865884,1,FALSE
"67","2_34_1",0,0.719240138526779,1.16352584682979,1.27842720079158,0.207781328956061,0.178188086090542,0.0385683134214405,0.240027301236523,0.0999931981945483,0.157747201784182,1,FALSE
"68","2_36_1",0,0.525423453335926,1.39443744564446,1.59966495520748,0.21925974415205,0.0521713573204383,0.304423027583096,0.0704956797286474,0.0385444308325079,0.0819726071450525,1,FALSE
"69","2_37_1",0,0.539899009747462,1.26198232915234,1.51775779426706,0.229258371790103,0.0199049208571375,0.217453534290055,0.107776201556599,0.0612190922727083,0.0283824448588105,1,FALSE
