"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"fb_paid_spend","1_98_1","revenue","fb_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,746.791733333333,1.4,1493.58346666667,3,0.0999999999999999,106.684533333333,2.2,2347.05973333333,1093688.54,3247463.81,1703.56470404984,5058.35484423676,0.336782364327564,32005.36,81941.6,1066.84533333333,2731.38666666667,0.390587442764115,1066.84533333333,2731.38666666667,0.390587442764115,81941.6,1066.13045161744,2399.32203767546,2.05890219694038,71979.6611302637,0.444346542430103,0.999329910631318,1.00067053868953,2731.38666666667,0,1493.58346666667,0.4,2731.38666666681,5.37347943918576e-14,0.546822419869731,81941.6000000044,2347.05973333333,1.2,2731.38666665979,-2.51920706517694e-12,0.859292374083217,81941.5999997936,2091.40070717735,2.70564151231883,2908.52492630888,87255.7477892664,0.719058890731764,1.40025700193701,0.714154614914746,0.961674299804926,4681.61920201449,3.18929307606231,4801.02533467834,144030.76004035,0.975129035083117,1.9946740747691,0.501335036459907,3.39122547800032,0.212227821291865,1.00099247174411
"google_paid_spend","1_98_1","revenue","google_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,1130.36676666667,1.4,2260.73353333333,3,0.0999999999999999,161.480966666666,2.2,3552.58126666667,2017462.48,3247463.81,3142.46492211838,5058.35484423676,0.621242482760724,48444.29,81941.6,1614.80966666667,2731.38666666667,0.591205077762699,1614.80966666667,2731.38666666667,0.591205077762699,81941.6,1326.66427481031,2399.32203767546,1.35245403107001,71979.6611302637,0.552932976056699,0.821560771028111,1.21719541057028,2731.38666666667,0,1202.99103333348,-0.255026113500592,2731.38666666681,5.37347943918576e-14,0.440432344499039,81941.6000000044,379.353766659786,-0.76507834050631,2731.38666665979,-2.51920706517694e-12,0.138886877969459,81941.5999997936,814.621465179076,1.12764779186898,2908.52492630888,87255.7477892664,0.280080620183265,0.677163372466514,1.47674850805586,-0.385962612662084,119.39166917075,0.517252439859917,4801.02533467834,144030.76004035,0.0248679523326758,0.314723826843726,3.17738891913177,-0.910006117268952,0.212227821291865,1.00099247174411
"mountain_paid_spend","1_98_1","revenue","mountain_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,67.3790887850467,1.4,134.758177570093,3,0.0999999999999999,9.62558411214952,2.2,211.76285046729,61796.25,3247463.81,96.2558411214953,5058.35484423676,0.019029080419529,0,81941.6,0,2731.38666666667,0,0,2731.38666666667,0,81941.6,8.45206044040131e-42,2399.32203767546,0.545086361479406,71979.6611302637,3.52268695393218e-45,Inf,0,2731.38666666667,0,0,NA,2731.38666666681,5.37347943918576e-14,0,81941.6000000044,0,NA,2731.38666665979,-2.51920706517694e-12,0,81941.5999997936,8.45206044040131e-42,0.545086361479406,2908.52492630888,87255.7477892664,2.9059611502548e-45,Inf,0,0,8.45206044040131e-42,0.545086361479406,4801.02533467834,144030.76004035,1.76046986866558e-45,Inf,0,0,0.212227821291865,1.00099247174411
"pinterest_paid_spend","1_98_1","revenue","pinterest_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,34.8121666666667,1.4,69.6243333333333,3,0.0999999999999999,4.97316666666666,2.2,109.409666666667,74516.54,3247463.81,116.06937694704,5058.35484423676,0.0229460724921828,1491.95,81941.6,49.7316666666667,2731.38666666667,0.0182074794731858,49.7316666666667,2731.38666666667,0.0182074794731858,81941.6,6.52731124770586,2399.32203767546,0.358485463906867,71979.6611302637,0.00272048151319851,0.131250603191243,7.61901260402525,2731.38666666667,0,34.8121666666667,-0.3,2731.38666666681,5.37347943918576e-14,0.0127452356312294,81941.6000000044,4.97316666666666,-0.9,2731.38666665979,-2.51920706517694e-12,0.00182074794732316,81941.5999997936,2.50275395245377,0.197950715128463,2908.52492630888,87255.7477892664,0.00086048908497062,0.0718930819910788,13.9095441773395,-0.616571991517425,0.0144634931028983,0.0087485471210597,4801.02533467834,144030.76004035,3.01258420746645e-06,0.00290830653230303,343.842710145179,-0.997784157587401,0.212227821291865,1.00099247174411
