"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","fb_paid_spend",1,36,0.277104487907298,0.00977350483352493,"[0.16, 0.4]",0.157769486829563,0.395864722621548,0.0578208343556432,0.00357310004548758
"2","fb_paid_spend",2,32,0.429419557489957,0.0217311921501895,"[0.18, 0.68]",0.177922396251987,0.679357933579612,0.120994157215636,0.00750933183594846
"3","fb_paid_spend",4,3,0.846790842839394,0.0968199247100182,"[0.13, 1.57]",0.126099437093522,1.56918359441943,0.13692405063285,0.0173427500867839
"4","fb_paid_spend",5,15,0.344942827684844,0.0250091497628783,"[0.14, 0.55]",0.137751962973533,0.553240128240935,0.0935756699472095,0.00608726772890729
"5","fb_paid_spend",6,13,0.175358873850832,0.0116285631412397,"[0.08, 0.27]",0.0835065906768143,0.266210420494397,0.0402825243592997,0.00265928160137557
"6","google_paid_spend",1,36,0.176877044276157,0.00932109916541725,"[0.06, 0.29]",0.0637894580370008,0.290863505825655,0.0551443663287917,0.0034077048529923
"7","google_paid_spend",2,32,0.282306279827202,0.0132772686613143,"[0.13, 0.44]",0.129203626022261,0.435569438786535,0.0739247032881858,0.00458803251859237
"8","google_paid_spend",4,3,0.439299697581602,0.0504568283372063,"[0.06, 0.82]",0.0632456832112562,0.815295943737858,0.0713567309488083,0.00903801739822443
"9","google_paid_spend",5,15,0.352397532830177,0.00983980708023335,"[0.27, 0.44]",0.271665045227291,0.435138151235067,0.0368171868461857,0.00239502504747623
"10","google_paid_spend",6,13,0.162890671666346,0.0191643287698251,"[0.01, 0.31]",0.0112797701526642,0.312382857404514,0.0663871822445822,0.0043826005226365
"11","mountain_paid_spend",1,36,0.777378668252358,0.0214675878432092,"[0.51, 1.04]",0.514545204706559,1.03752344807747,0.127003962431125,0.00784834513366835
"12","mountain_paid_spend",2,32,1.10488871459621,0.0469038515525174,"[0.56, 1.65]",0.56320196806927,1.64548304328247,0.261149593153576,0.0162078814294985
"13","mountain_paid_spend",4,3,1.61124194758684,0.694699868984832,"[0, 6.82]",0,6.8188228315073,0.982453976497162,0.0887245533788043
"14","mountain_paid_spend",5,15,0,0,"[0, 0]",0,0,0,0
"15","mountain_paid_spend",6,13,0.162517283441852,0.0842237561732686,"[0, 0.82]",0,0.824184197709269,0.291759649792788,0.0142192272454025
"16","pinterest_paid_spend",1,36,1.63326325606759,0.0295044268802485,"[1.27, 1.99]",1.27421020627766,1.99297625741456,0.174550543378179,0.0107865367463965
"17","pinterest_paid_spend",2,32,2.16599998732384,0.0467954467440432,"[1.62, 2.7]",1.62388726320066,2.70366695593054,0.260546020724194,0.0161704215573562
"18","pinterest_paid_spend",4,3,4.11600669316083,0.135528695660789,"[3.11, 5.13]",3.11212470323354,5.13215636672534,0.191666519494224,0.0242764111361641
"19","pinterest_paid_spend",5,15,1.76342165127355,0.0717095581823938,"[1.17, 2.36]",1.17020990718846,2.36155279744391,0.268312598075449,0.0174542230950136
"20","pinterest_paid_spend",6,13,0.894485506375823,0.0429296680497773,"[0.56, 1.23]",0.557176897638204,1.23167250558445,0.148712732428561,0.00981738457377143
