"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",24396.1917637503,15662355.1123277,0.845111844785224,24396.1917637503,0.802618964305977,15662355.1123277,0.845111844785224,24396.1917637503,0.802618964305977,TRUE,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,"1_1_1",1,1,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,"1_1_1",1,1,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"3","season",0.0598848780627956,29935.0775923015,0.00161524167128011,46.6278467169805,0.00153402606448637,29935.0775923015,0.00161524167128011,46.6278467169805,0.00153402606448637,TRUE,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,"1_1_1",1,1,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"4","holiday",0.0902829373455037,31457.8162259864,0.00169740584433135,1429.90073754484,0.0470428114413283,31457.8162259864,0.00169740584433135,1429.90073754484,0.0470428114413283,TRUE,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,"1_1_1",1,1,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"5","fb_paid_spend",4254.316506614,724799.74928761,0.0391088599911899,1128.97157209908,0.0371424361106826,724799.74928761,0.0391088599911899,1128.97157209908,0.0371424361106826,TRUE,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,"1_1_1",1,1,1,1,12,1093688.54,1703.56470404984,1875.48755078039,171.922846730542,1093.4207396167,0.336782364327564,0.346028159923221,0.641842799993059,0.66271129556465,1.50895270186691,4,TRUE,0.846790842839394,0.0968199247100182,0.126099437093522,1.56918359441943,0.0436623184787518
"6","google_paid_spend",7324.11406455498,1061448.9561182,0.05727383136297,1653.34728367321,0.0543940586018702,1061448.9561182,0.05727383136297,1653.34728367321,0.0543940586018702,TRUE,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,"1_1_1",1,1,1,1,12,2017462.48,3142.46492211838,3755.55970380418,613.094781685798,1557.7340733608,0.621242482760724,0.506748559859476,0.495704522394702,0.526130704605819,1.90066839142035,4,TRUE,0.439299697581602,0.0504568283372063,0.0632456832112562,0.815295943737858,0.204907654876443
"7","pinterest_paid_spend",1647.76131957124,308377.782358746,0.0166394973598096,480.33922485786,0.0158028504983225,308377.782358746,0.0166394973598096,480.33922485786,0.0158028504983225,TRUE,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,"1_1_1",1,1,1,1,12,74516.54,116.06937694704,128.298547816769,12.2291708697286,510.463788210671,0.0229460724921828,0.147223280217303,4.39791960323508,4.13838031608481,0.241640430221761,4,TRUE,4.11600669316083,0.135528695660789,3.11212470323354,5.13215636672534,0.196559702096643
"8","mountain_paid_spend",0,0,0,0,0,0,0,0,0,TRUE,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,"1_1_1",1,1,1,1,12,61796.25,96.2558411214953,96.2558411214953,0,0,0.019029080419529,0,0,0,Inf,4,TRUE,1.61124194758684,0.694699868984832,0,6.8188228315073,0
"9","fb_organic_total_impressions",2631.97890794518,255693.506541909,0.0137967508375004,398.276489940668,0.0131030394808824,255693.506541909,0.0137967508375004,398.276489940668,0.0131030394808824,TRUE,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,"1_1_1",1,1,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,0.0130991637013047
"10","instagram_organic_total_impressions",1505.99519414059,119445.278225396,0.00644504729384512,186.05183524205,0.00612098530603798,119445.278225396,0.00644504729384512,186.05183524205,0.00612098530603798,TRUE,0.6236849,0.201555621419592,-0.104814695518879,-0.567598619867497,0.148729772769111,2.47205816684627,2.25770122667822,2.47205816684627,0.212872002984918,0,253982.469084465,0.176634,1437232.53871745,1e-04,"1_1_1",1,1,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,0.0226155043072121
