"","facebook_S_alphas","facebook_S_gammas","facebook_S_thetas","newsletter_alphas","newsletter_gammas","newsletter_thetas","ooh_S_alphas","ooh_S_gammas","ooh_S_thetas","print_S_alphas","print_S_gammas","print_S_thetas","search_S_alphas","search_S_gammas","search_S_thetas","tv_S_alphas","tv_S_gammas","tv_S_thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"11",2.2655,0.7032126,0.1681704,1.1793875,0.6920728,0.2025409,1.802945,0.7192762,0.2429446,2.0766725,0.7651556,0.304699,2.6757125,0.5504656,0.1363932,2.071935,0.691699,0.54152,0.6392417,0.103163437474335,0.0552805180761601,0.0201532825742392,0.216146985505265,1.22578636849157,1.43209855025009,1.22578636849157,0.740904256629603,0,18064492.3069757,0.275801,65481090.2533626,1e-04,1,0.101961374282837,4.58666157722473,"1_37_1",1,37,1,37,FALSE,TRUE,8,0.344029839969899,1,FALSE
"12",1.666635,0.6369275,0.1897353,1.6255625,0.637967,0.21661,2.44422,0.9220277,0.171073,1.6614575,0.6923892,0.1586947,2.92622,0.34782813,0.0456726,0.8299725,0.32842721,0.365135,0.6537839,0.0747979722562165,-0.0119334221916805,-0.107136426835605,0.220198609254458,1.2312057781514,1.44329267486162,1.2312057781514,0.738912730488116,0,22085807.7363966,0.337219,65481090.2533626,1e-04,1,0.109629392623901,4.71294021606445,"1_38_1",1,38,1,38,FALSE,TRUE,8,0.34438616767306,1,FALSE
"13",1.4248925,0.5661386,0.0952113,2.079795,0.8156536,0.231802,1.45448,0.8944204,0.2760178,1.72767,0.6333575,0.1854997,2.1271825,0.4907787,0.1570527,2.0644925,0.4835484,0.4435735,0.6488525,0.0280588385367699,-0.0412960553803043,-0.149023637731216,0.225692055087941,1.24894060834725,1.47034185109113,1.24894060834725,0.721505186875432,0,29644581.7287918,0.452665,65481090.2533626,1e-04,1,0.101713180541992,4.83094477653503,"1_39_1",1,39,1,39,FALSE,TRUE,8,0.336229198987395,1,FALSE
"14",1.47929,0.7085627,0.1149807,1.6643275,0.8868457,0.2313061,1.16268,0.482707,0.2670244,2.56319,0.7473994,0.1583164,1.26438,0.7395153,0.129381,2.4440775,0.7799592,0.7316545,0.6463289,-0.0411113230194022,-0.0792025901115629,-0.207922111053979,0.234129915719085,1.26477955217795,1.59105269734999,1.26477955217795,0.684670562127482,0,59809488.9891936,0.913377,65481090.2533626,1e-04,1,0.110034942626953,4.95749425888062,"1_40_1",1,40,1,40,FALSE,TRUE,6,0.334467759419837,1,FALSE
"15",1.1024975,0.508628,0.1020861,2.615775,0.6800853,0.2189776,1.8730475,0.8938338,0.1738153,1.9763425,0.5542295,0.235147,1.7032825,0.5913092,0.1902807,1.3752175,0.6766434,0.679507,0.6483239,0.0156294268351691,-0.0499162031572102,-0.171187787840559,0.227130572161371,1.25409949816756,1.48445523306887,1.25409949816756,0.734214625436729,0,34653973.4737129,0.529174,65481090.2533626,1e-04,1,0.100672245025635,5.07459187507629,"1_41_1",1,41,1,41,FALSE,TRUE,10,0.34790577390248,1,FALSE
"16",2.4099025,0.634187,0.1045008,1.08303,0.7934678,0.2232166,1.2033,0.4468439,0.3473053,2.5594425,0.6744594,0.2703358,1.346945,0.6606855,0.0918513,2.4098825,0.715303,0.734862,0.6356225,-0.0215358020893062,-0.0531781120664638,-0.19992928354204,0.230684984263602,1.29423834895928,1.58478977376826,1.29423834895928,0.650008186895986,0,46303465.9102019,0.707098,65481090.2533626,1e-04,1,0.10411262512207,5.43916940689087,"1_44_1",1,44,1,44,FALSE,TRUE,8,0.31314033834486,1,FALSE
"17",2.57537,0.7219068,0.1693893,1.058195,0.7022193,0.2688457,1.21926,0.6775429,0.2587852,1.433035,0.8933193,0.226711,1.3518025,0.4780954,0.0864468,2.1762725,0.6963295,0.559138,0.6345248,0.242448346311871,0.154396188062913,0.197207604827244,0.196079516315491,1.19401502161303,1.35788726494642,1.19401502161303,0.691660438098425,0,9110390.34694256,0.139044,65481090.2533626,1e-04,1,0.102763891220093,6.06870675086975,"1_49_1",1,49,1,49,FALSE,TRUE,4,0.294955627690425,2,FALSE
"18",1.38832,0.506332,0.02987226,2.0705975,0.9791603,0.3055642,0.5114908,0.4365259,0.382867,1.97082,0.7839254,0.2283679,0.76586,0.6761604,0.1142946,2.73236,0.8681396,0.7759395,0.6596681,-0.0259833180262439,-0.112919875414434,-0.248759887327898,0.231658016524945,1.26790296626007,1.53374567048194,1.26790296626007,0.493573151360372,0,50144726.3487259,0.765766,65481090.2533626,1e-04,1,0.101786613464355,6.31358218193054,"1_51_1",1,51,1,51,FALSE,TRUE,1,0.250748408282314,1,FALSE
"19",1.318035,0.5918811,0.0726732,1.2104825,0.9229286,0.332224,0.92501,0.35108348,0.382501,2.69951,0.8651716,0.1508461,0.9924625,0.9140547,0.1717056,1.9788325,0.7592973,0.445848,0.6720425,0.0183159656937134,-0.567554029883844,-0.216954474462275,0.223703498901686,1.79042878249585,1.4315369440465,1.79042878249585,0.648727090377814,0,35532510.8802056,0.542592,65481090.2533626,1e-04,1,0.101992607116699,6.43205523490906,"1_52_1",1,52,1,52,FALSE,TRUE,10,0.280543024822213,1,FALSE
"20",1.7837025,0.6017476,0.1152681,0.64590875,0.6499188,0.1803406,1.2336975,0.9191451,0.2759332,1.87939,0.729842,0.2588476,1.8092325,0.5094708,0.0830736,1.898435,0.4349607,0.414325,0.6391778,0.21809183862547,0.129903448592271,0.12538699639767,0.201822881947343,1.17637849139286,1.35301246948237,1.17637849139286,0.703098706402947,0,10632477.028172,0.162291,65481090.2533626,1e-04,1,0.101639747619629,6.67579102516174,"1_54_1",1,54,1,54,FALSE,TRUE,5,0.302429721546524,2,FALSE
"21",1.396955,0.5690163,0.0567123,1.813155,0.909581,0.2458372,1.2658275,0.8897696,0.2197699,1.64019,0.477163,0.1424746,2.01064,0.4445402,0.1137693,1.89163,0.6496094,0.651703,0.6532313,-0.0236352941219771,-0.087824940491164,-0.243063489428184,0.231616187960675,1.27653927386662,1.52932748176715,1.27653927386662,0.702610079798565,0,49278760.0543249,0.75254,65481090.2533626,1e-04,1,0.11056661605835,6.80283522605896,"1_55_1",1,55,1,55,FALSE,TRUE,7,0.33391589039018,1,FALSE
"22",0.792395,0.4065778,0.001794546,2.525635,0.8680773,0.2190841,1.3711375,0.5833635,0.3184363,2.0733975,0.5067443,0.2386198,2.49251,0.3808045,0.0610503,1.1341025,0.4201046,0.394541,0.645233,0.566430524621604,0.431963829171406,0.608341917016302,0.15109067914681,0.917595640962716,0.905980073146116,0.917595640962716,0.668782824758876,0,3157936.0342455,0.0481315,65481090.2533626,1e-04,1,0.108325242996216,7.7743194103241,"1_63_1",1,63,1,63,FALSE,TRUE,2,0.209343453513076,3,FALSE
"23",1.5060925,0.5280005,0.0444093,1.7579225,0.9774334,0.2942077,0.578367,0.4531383,0.3819802,2.08214,0.7614638,0.2460127,0.924375,0.6890845,0.1277391,2.7013975,0.7786908,0.795115,0.6527774,-0.0420563523968736,-0.104957306690683,-0.28339536780489,0.233690945889472,1.28655223629627,1.55393937425288,1.28655223629627,0.519608503351132,0,62479540.8178397,0.954157,65481090.2533626,1e-04,1,0.102342367172241,7.89308667182922,"1_64_1",1,64,1,64,FALSE,TRUE,2,0.258462494795259,1,FALSE
"24",1.5852775,0.6268258,0.2011044,2.33405,0.8541613,0.2866465,0.9304375,0.5605113,0.2030758,1.6384225,0.6213,0.2590261,2.4554875,0.5941288,0.1469226,1.5785625,0.7046931,0.57648,0.6428246,0.0187671921286434,-0.0269321997386327,-0.149564005305628,0.227297340434821,1.25351207154144,1.4697885213765,1.25351207154144,0.646697972234793,0,33335054.2967573,0.50903,65481090.2533626,1e-04,1,0.109333753585815,8.0193338394165,"1_65_1",1,65,1,65,FALSE,TRUE,4,0.287167857786013,1,FALSE
"25",1.52587,0.6226643,0.2109396,2.404455,0.7987619,0.2872639,1.0701025,0.577389,0.2027686,1.752705,0.7312805,0.2326219,2.13466,0.8109307,0.2012235,1.8073475,0.6937689,0.5860005,0.6369308,0.0107491976514476,-0.00536860596539213,-0.0990675685958837,0.227010390580424,1.26452089933066,1.51672215457294,1.26452089933066,0.687639069916551,0,34740596.2929698,0.530497,65481090.2533626,1e-04,1,0.100666522979736,8.13642835617065,"1_66_1",1,66,1,66,FALSE,TRUE,6,0.321684094533712,1,FALSE
