"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",1562651.67869268,245336313.554751,0.858798153105458,1562651.67869268,0.857449326186638,245336313.554751,0.858798153105458,1562651.67869268,0.857449326186638,TRUE,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,"1_3_1",1,3,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"2","trend",0.0980710955116637,27440503.4756296,0.0960553020614923,174780.276914838,0.0959044377674233,27440503.4756296,0.0960553020614923,174780.276914838,0.0959044377674233,TRUE,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,"1_3_1",1,3,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"3","season",0.0207851233319072,7609.25994613618,2.66361644289675e-05,48.46662386074,2.65943297144121e-05,7609.25994613618,2.66361644289675e-05,48.46662386074,2.65943297144121e-05,TRUE,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,"1_3_1",1,3,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.0122294565158768,85110.7803041122,0.000297929727056993,3404.43121216449,0.00186806009856358,85110.7803041122,0.000297929727056993,3404.43121216449,0.00186806009856358,TRUE,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,"1_3_1",1,3,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.00685369287235383,5971190.33041874,0.0209021125054949,38033.0594294187,0.0208692836831393,5971190.33041874,0.0209021125054949,38033.0594294187,0.0208692836831393,TRUE,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,"1_3_1",1,3,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"6","events",0,0,0,0,0,0,0,0,0,TRUE,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,"1_3_1",1,3,1,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"7","tv_S",49318.6766464266,1598439.70101888,0.00559532766754117,10181.1445924769,0.00558653965542178,1598439.70101888,0.00559532766754117,10181.1445924769,0.00558653965542178,TRUE,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,"1_3_1",1,3,1,3,9,7774236.44,49517.4295541401,58946.4262750853,9428.99672094512,9819.3333059141,0.206047362680601,0.305859117907719,0.198300545774051,0.205607291900023,4.86364073355069,1,FALSE,0.177642899473316,0.0114673289433323,0,0.381486022185836,0.479557172275018
"8","ooh_S",19647.4942909243,176551.489509587,0.000618017328629234,1124.53178031584,0.000617046671663871,176551.489509587,0.000618017328629234,1124.53178031584,0.000617046671663871,TRUE,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,"1_3_1",1,3,1,3,9,24719081.6,157446.379617834,158763.384301533,1317.00468369888,403.011178925898,0.655151359349006,0.0337828713915674,0.00255967256855392,0.00714231589856427,140.010609192043,1,FALSE,0.0234485793216475,0.00156953229922654,0,0.0513860585932937,0.0771499683152139
"9","print_S",19577.5576896745,413420.706043169,0.00144717646426277,2633.25290473356,0.00144490353136903,413420.706043169,0.00144717646426277,2633.25290473356,0.00144490353136903,TRUE,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,"1_3_1",1,3,1,3,9,1804904.93333333,11496.2097664544,14378.6524452185,2882.44267876411,2242.17550749088,0.0478369682055284,0.0791074523452771,0.195036064323869,0.229054006340188,4.36578262034332,1,FALSE,0.228160166196905,0.0129438987845893,0,0.458861295487794,0.165889133908711
"10","facebook_S",51234.5722809448,1061348.24501485,0.00371524255587651,6760.1799045532,0.00370940740223628,1061348.24501485,0.00371524255587651,6760.1799045532,0.00370940740223628,TRUE,0.6491189,0.0241319081720378,-0.0443515737469597,-0.162785928767971,0.226147526889001,1.25077167529875,1.4791210618077,1.25077167529875,0.725704071051826,0,30499089.9783175,0.465716,65481090.2533626,1e-04,"1_3_1",1,3,1,3,9,1002234.0659765,6383.65647118789,6403.92705834516,20.2705871572634,4561.65721778205,0.0265630827769259,0.203087446968582,0.714583755935287,1.05898240844643,0.944302749530125,1,FALSE,1.05397174757075,0.0380833920981406,0.376053126937129,1.73206012799043,0.0394616298827206
