"","channels","initSpendUnitTotal","initSpendUnit","initRoiUnit","initResponseUnit","initResponseUnitTotal","optmSpendUnit","optmResponseUnitTotal","optmResponseUnit","optmRoiUnit"
"fb_paid_spend","fb_paid_spend",2731.38666666667,1066.84533333333,0.713756481331433,761.46777124486,2439.25385677219,1493.58346666667,4856.41834228987,1762.31356160235,1.17992305146188
"google_paid_spend","google_paid_spend",2731.38666666667,1614.80966666667,1.03899928280134,1677.78608552733,2439.25385677219,1704.99168909594,4856.41834228987,1818.62423037097,1.06664697664027
"mountain_paid_spend","mountain_paid_spend",2731.38666666667,0,Inf,4.04977968090577e-17,2439.25385677219,134.758177570093,4856.41834228987,1275.48055031655,9.46495844122793
"pinterest_paid_spend","pinterest_paid_spend",2731.38666666667,49.7316666666667,0,0,2439.25385677219,0,4856.41834228987,0,NA
