date,revenue,fb_paid_total_impressions,fb_paid_spend,google_paid_total_impressions,google_paid_spend,pinterest_paid_total_impressions,pinterest_paid_spend,mountain_paid_total_impressions,mountain_paid_spend,fb_organic_total_impressions,instagram_organic_total_impressions,google_organic_total_impressions
2023-12-08,19139.55,85275,2204.16,126961,2160.39,7052,50.00,0,0.00,81319.0,137711,16610.0
2023-12-07,25039.22,90593,2327.13,130750,2073.50,6208,50.00,0,0.00,68576.0,128686,17177.0
2023-12-06,17639.57,89225,2286.28,114560,1614.62,5134,50.00,0,0.00,51374.0,119836,17146.0
2023-12-05,12318.87,42192,1246.73,123247,1884.19,5456,50.00,0,0.00,53033.0,81428,18081.0
2023-12-04,23784.22,44951,1187.79,114447,1696.15,8032,50.00,0,0.00,49923.0,81156,18830.0
2023-12-03,28247.59,42249,1007.60,131919,2109.98,7774,50.00,0,0.00,49574.0,83142,20636.0
2023-12-02,10704.92,29643,835.00,106461,1408.51,6868,50.00,0,0.00,45737.0,70048,17937.0
2023-12-01,13656.61,30709,830.01,118870,1966.10,6125,85.82,0,0.00,46320.0,66659,15420.0
2023-11-30,10217.79,31175,931.43,138784,2426.70,6118,100.00,6,0.07,64522.0,72408,13359.0
2023-11-29,55353.56,94210,2859.99,150998,2839.91,5662,100.00,23133,393.90,59535.0,119431,12870.0
2023-11-28,33088.64,85525,2932.63,215250,4131.03,14941,100.00,25898,443.14,83458.0,118127,14053.0
2023-11-27,58280.04,85552,3086.20,264750,7473.01,16729,100.00,30018,506.18,72529.0,121542,19137.0
2023-11-26,41596.03,69494,2199.44,290273,7177.87,14999,100.00,30798,526.06,78235.0,109832,17578.0
2023-11-25,45506.92,92578,2722.62,230290,5358.19,13823,100.00,26388,453.68,66417.0,132222,17495.0
2023-11-24,67809.64,69757,2636.27,208293,4863.12,11676,100.00,33248,572.28,66891.0,100482,18867.0
2023-11-23,30445.11,83762,2582.85,113733,2326.70,13639,100.00,31603,557.12,63091.0,120483,13741.0
2023-11-22,28529.79,87310,2582.36,93937,1964.74,14865,100.00,40158,694.40,64237.0,132162,15061.0
2023-11-21,21869.16,90334,2617.79,99216,1998.85,15255,100.00,161,3.19,66880.0,127401,16941.0
2023-11-20,36978.66,86850,2686.21,117945,2386.42,15694,100.00,,,69515.0,138681,17271.0
2023-11-19,19005.36,81456,2766.29,128478,1889.39,14000,100.00,,,78513.0,142423,18229.0
2023-11-18,11097.27,76147,2624.65,115025,1866.15,13553,100.00,,,65782.0,123940,17640.0
2023-11-17,25226.89,59825,2015.50,103590,1820.35,15195,100.00,,,50818.0,113754,15000.0
2023-11-16,13924.99,43503,1282.81,86998,1490.33,13593,100.00,,,50907.0,84193,14957.0
2023-11-15,13231.63,47039,1293.00,89629,1647.98,14124,100.00,,,53992.0,80397,15595.0
2023-11-14,19012.18,48453,1310.37,85012,1366.18,13499,100.00,,,56553.0,84223,15019.0
2023-11-13,11135.49,50060,1340.05,97630,1596.01,13035,100.00,,,55937.0,90273,15538.0
2023-11-12,7847.9,53316,1378.56,93125,1502.85,12186,100.00,,,57370.0,95182,16242.0
2023-11-11,6128.26,51585,1363.50,83226,1349.06,12054,100.00,,,55971.0,94113,15511.0
2023-11-10,3333.63,52537,1336.90,75416,1428.63,12033,100.00,,,64979.0,97033,15588.0
2023-11-09,7876.46,37289,908.25,71415,1227.30,12126,100.00,,,58144.0,96805,14896.0
2023-11-08,17790.13,33443,775.96,71925,1431.87,12130,100.00,,,60057.0,94799,15147.0
2023-11-07,8451.77,34243,780.09,84432,1632.23,14891,100.00,,,57519.0,101330,14331.0
2023-11-06,6290.38,36785,783.20,95370,1710.66,8917,100.03,,,65814.0,109694,15067.0
2023-11-05,16537.31,36234,794.67,101602,1582.17,0,0.00,,,61491.0,122859,15746.0
2023-11-04,5552.89,29415,730.44,88417,1313.34,0,0.00,,,64026.0,97523,14601.0
2023-11-03,13210.62,33399,736.13,68296,1341.05,0,0.00,,,57871.0,89783,13951.0
2023-11-02,15290.8,37292,740.23,71704,1667.84,0,0.00,,,37876.0,84505,14769.0
2023-11-01,13588.32,41126,741.66,78816,1513.37,0,0.00,,,32504.0,63709,14620.0
2023-10-31,7947.73,42820,754.36,61116,1162.32,0,0.00,,,34522.0,67753,13088.0
2023-10-30,13756.93,46472,775.29,82347,1544.28,0,0.00,,,35855.0,70161,14038.0
2023-10-29,17242.66,46119,792.75,87229,1374.14,0,0.00,,,44206.0,67142,14611.0
2023-10-28,4063.13,51784,747.16,69626,1146.32,0,0.00,,,55886.0,69764,13767.0
2023-10-27,14151.22,58264,728.82,62567,1096.94,0,0.00,,,46273.0,66879,14254.0
2023-10-26,11779.24,49134,751.18,53143,942.41,0,0.00,,,36286.0,58802,14744.0
2023-10-25,16266.69,45661,672.64,69524,1231.04,0,0.00,,,36463.0,75179,15505.0
2023-10-24,9223.56,45528,667.64,97119,1775.09,0,0.00,,,40168.0,67686,15089.0
2023-10-23,12650.36,58340,684.47,93883,1712.59,0,0.00,,,42183.0,94293,15065.0
2023-10-22,6301.4,64492,706.91,87829,1340.90,0,0.00,,,42780.0,93766,14718.0
2023-10-21,13308.45,63156,685.88,73966,1216.56,0,0.00,,,36802.0,92992,15459.0
2023-10-20,12700.59,52220,653.25,63618,1132.67,0,0.00,,,32290.0,78545,14250.0
2023-10-19,8536.36,46122,646.62,71524,1431.36,0,0.00,,,27600.0,68536,13928.0
2023-10-18,19078.59,48192,667.53,74534,1441.93,0,0.00,,,26178.0,79173,12755.0
2023-10-17,8992.03,37363,679.36,79054,1577.95,0,0.00,,,26327.0,59557,12832.0
2023-10-16,17064.49,37359,693.64,82088,1616.87,0,0.00,,,25176.0,58165,12956.0
2023-10-15,8885.89,35086,712.72,84810,1615.74,0,0.00,,,23718.0,65976,14013.0
2023-10-14,8757.68,32383,654.45,80222,1322.48,0,0.00,,,24221.0,64842,13341.0
2023-10-13,17773.29,34903,661.81,57613,1464.21,0,0.00,,,23855.0,54793,12775.0
2023-10-12,22590.74,33541,664.12,50195,1195.96,0,0.00,0,0.00,23927.0,56128,12218.0
2023-10-11,25843.58,30723,666.96,56237,1208.59,0,0.00,0,0.00,25551.0,57334,13288.0
2023-10-10,17206.13,31421,680.73,55661,1046.98,0,0.00,0,0.00,25094.0,56600,12579.0
2023-10-09,22371.47,28755,700.03,65481,1498.70,0,0.00,,,28883.0,58261,13068.0
2023-10-08,9458.63,36340,710.90,79637,1349.79,0,0.00,0,0.00,27987.0,67320,12985.0
2023-10-07,5850.62,33997,678.33,65759,1169.33,0,0.00,0,0.00,24758.0,61069,13277.0
2023-10-06,10389.2,32524,666.72,59300,1191.24,0,0.00,,,24003.0,55376,12890.0
2023-10-05,10639.37,33170,673.91,54535,1098.22,0,0.00,,,23613.0,55080,12960.0
2023-10-04,18806.42,31298,678.08,55628,1076.58,0,0.00,0,0.00,24765.0,55100,12409.0
2023-10-03,12886.55,34321,694.81,56495,1193.41,0,0.00,,,28931.0,63880,12505.0
2023-10-02,18687.24,50860,1000.23,65603,1231.25,0,0.00,,,31936.0,70020,13147.0
2023-10-01,3713.94,61630,1043.51,69261,1090.73,0,0.00,0,0.00,28757.0,59501,13431.0
2023-09-30,24587.61,51798,1035.73,60562,1034.46,0,0.00,0,0.00,30515.0,54389,12611.0
2023-09-29,13115.08,51924,1022.44,53069,937.92,0,0.00,0,0.00,31599.0,51452,12400.0
2023-09-28,9847.06,52764,1064.65,54959,1075.80,0,0.00,0,0.00,29237.0,50145,11283.0
2023-09-27,6041.29,50183,1060.40,65920,1161.01,0,0.00,0,0.00,32074.0,53124,12120.0
2023-09-26,14980.93,54379,1087.82,71019,1305.52,0,0.00,0,0.00,31245.0,55995,12671.0
2023-09-25,12590.92,50903,1110.79,98585,1698.53,0,0.00,0,0.00,33682.0,51780,13472.0
2023-09-24,7808.45,58662,1132.13,107752,1548.86,0,0.00,0,0.00,32248.0,59303,14437.0
2023-09-23,8815.47,53846,1054.61,110987,1585.54,0,0.00,0,0.00,30739.0,54652,14011.0
2023-09-22,14194.69,54096,1028.58,88191,1526.25,0,0.00,0,0.00,33033.0,55870,12823.0
2023-09-21,16493.72,56346,1066.06,99892,1696.46,0,0.00,0,0.00,26121.0,53817,13314.0
2023-09-20,21958.71,49789,1070.74,99768,1693.92,0,0.00,0,0.00,30918.0,54117,13115.0
2023-09-19,13849.81,54284,1088.63,114562,2204.40,0,0.00,0,0.00,30815.0,51633,13543.0
2023-09-18,32923.7,59903,1129.33,142835,2192.43,0,0.00,12775,197.86,30017.0,61736,15767.0
2023-09-17,10540.41,58607,1154.51,155913,2254.41,0,0.00,36570,669.71,29734.0,61133,15839.0
2023-09-16,9609.72,51090,1103.34,132732,1991.75,0,0.00,36781,667.47,28917.0,49637,15154.0
2023-09-15,19495.93,48443,1077.43,108976,2092.75,0,0.00,38564,676.77,26112.0,52284,13902.0
2023-09-14,16789.5,48863,1098.78,124667,2347.00,0,0.00,38983,697.48,24421.0,50823,14296.0
2023-09-13,10389.18,46459,1014.08,144474,2845.04,0,0.00,31917,508.79,25916.0,47925,14435.0
2023-09-12,11447.28,44497,1031.06,157395,2671.03,0,0.00,34399,637.94,44494.0,47718,15319.0
2023-09-11,49420.05,124338,2707.60,152846,2580.32,0,0.00,33399,624.81,48601.0,112508,16651.0
2023-09-10,20577.42,145674,3011.73,189900,2963.23,0,0.00,33986,629.88,51421.0,137058,18002.0
2023-09-09,30394.06,150125,2853.54,144467,2446.44,0,0.00,33672,621.72,52385.0,136941,18068.0
2023-09-08,30530.88,141077,2786.31,111850,2121.48,0,0.00,31811,605.11,57707.0,116952,16322.0
2023-09-07,29585.91,141020,2832.06,114417,2398.78,0,0.00,32619,610.68,58323.0,112150,15507.0
2023-09-06,29899.27,148759,2847.54,138278,2543.04,0,0.00,32491,612.33,60510.0,116936,17071.0
2023-09-05,45566.1,151322,2894.47,162216,3248.59,0,0.00,40208,735.55,62815.0,120034,18859.0
2023-09-04,93347.32,146391,2962.25,280678,6308.48,0,0.00,31878,494.63,58716.0,119425,27841.0
2023-09-03,49383.36,153470,3046.83,234847,4319.22,0,0.00,43115,752.60,56972.0,132931,27072.0
2023-09-02,34745.62,134337,2804.17,184919,3433.24,0,0.00,37409,588.09,59906.0,114109,22979.0
2023-09-01,32561.03,136755,2781.70,155134,2888.25,0,0.00,29267,483.31,63303.0,107860,19725.0
2023-08-31,38991.3,138633,2855.94,168484,3040.36,0,0.00,49086,866.10,63738.0,107386,18388.0
2023-08-30,61233.12,143714,2879.92,165497,3524.15,0,0.00,37896,585.66,62699.0,109184,18731.0
2023-08-29,33741.29,157996,2906.96,132419,2563.99,0,0.00,40674,856.71,75779.0,122061,19045.0
2023-08-28,33508.84,233827,3116.68,167584,3720.35,0,0.00,30810,581.20,83768.0,197738,19991.0
2023-08-27,42176.22,246130,3208.66,207122,3840.31,0,0.00,36176,760.46,79527.0,206692,24655.0
2023-08-26,36641.35,238377,2936.06,165387,2783.68,0,0.00,36740,738.76,78523.0,200053,24253.0
2023-08-25,35928.08,220885,2904.47,128268,2342.23,0,0.00,30563,564.18,79931.0,189639,20903.0
2023-08-24,38598.24,221356,2977.15,128718,2279.17,0,0.00,35190,711.85,75856.0,189488,19604.0
2023-08-23,49278.15,197855,3012.83,147135,3099.59,0,0.00,31369,641.20,70180.0,147295,19197.0
2023-08-22,39810.44,174776,3070.26,162506,3047.75,0,0.00,34044,710.69,64208.0,122254,19785.0
2023-08-21,72686.82,160053,3012.38,170300,3345.27,0,0.00,30457,595.99,60656.0,116579,21375.0
2023-08-20,48578.38,134414,2408.04,191769,3290.03,0,0.00,26962,479.91,56185.0,93079,26318.0
2023-08-19,40381.25,122840,2166.38,186960,2968.72,0,0.00,35719,795.22,52250.0,88407,26036.0
2023-08-18,43927.08,113648,2091.89,170524,2841.11,0,0.00,25730,442.81,58764.0,90635,24057.0
2023-08-17,28550.89,120394,2161.55,165300,2751.35,0,0.00,34516,782.48,57614.0,83149,23087.0
2023-08-16,27138.01,113133,2171.34,183160,3239.06,0,0.00,30281,575.17,59094.0,82654,24724.0
2023-08-15,26890.95,121009,2209.18,199521,3655.32,0,0.00,30503,596.35,64393.0,87740,23571.0
2023-08-14,50150.75,137987,2402.89,259305,4443.65,0,0.00,26988,484.59,65137.0,107927,24731.0
2023-08-13,41409.22,137733,2469.60,330231,5671.82,0,0.00,33502,661.99,60885.0,106933,30101.0
2023-08-12,32957.35,125910,2248.43,282246,4640.97,0,0.00,29855,571.91,60231.0,102981,29742.0
2023-08-11,30625.49,115342,2166.13,217658,3817.03,0,0.00,36453,663.46,60030.0,92871,25991.0
