"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","fb_paid_spend",1,42,2.05516039541184,0.0158850612927598,"[1.85, 2.26]",1.84727458677465,2.26308580677191,0.101714020976777,0.00625494203990723
"2","fb_paid_spend",2,38,2.55327454678058,0.0604652759585736,"[1.8, 3.31]",1.8001993537034,3.31065691927338,0.367795914984953,0.022687367631716
"3","fb_paid_spend",3,25,4.3028060295151,0.0980705514567693,"[3.29, 5.31]",3.28845958641076,5.31253628730769,0.480445619724892,0.0301511913166335
"4","google_paid_spend",1,42,1.92155276728495,0.0255427581441188,"[1.59, 2.26]",1.58745591448032,2.25606935136028,0.163553453763492,0.0100577812566358
"5","google_paid_spend",2,38,2.56000042784338,0.061006943724376,"[1.8, 3.32]",1.80018640675708,3.32417514640856,0.371090751374646,0.0228906085090987
"6","google_paid_spend",3,25,4.306573412126,0.0997925601166908,"[3.27, 5.33]",3.2742916567009,5.33390886956107,0.488881704823815,0.0306806123485636
"7","mountain_paid_spend",1,42,2.6243215606946,0.0528649946683508,"[1.93, 3.32]",1.93241026445892,3.31621719620899,0.338501128672676,0.0208162544353072
"8","mountain_paid_spend",2,38,3.55239078468658,0.0473013694258069,"[2.96, 4.14]",2.9615697665411,4.14318533313473,0.287722997575092,0.0177480965832709
"9","mountain_paid_spend",3,25,4.86158615553967,0.0354183869247586,"[4.49, 5.23]",4.49444985544298,5.22544943373492,0.173513950956244,0.0108891664667114
"10","pinterest_paid_spend",1,42,0.386010424202346,0.0822774401237954,"[0, 1.46]",0,1.46049632191317,0.526832671050604,0.0253955723637816
"11","pinterest_paid_spend",2,38,2.22680632376586,0.109671502506187,"[0.86, 3.6]",0.862305238883555,3.60196280368804,0.667105706086142,0.041150191686634
"12","pinterest_paid_spend",3,25,3.86399210907775,0.13410450848199,"[2.48, 5.25]",2.48054878213592,5.24832980377405,0.656975235975229,0.0412296110463494
