"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","fb_paid_spend","google_paid_spend","pinterest_paid_spend","mountain_paid_spend","cluster","top_sol"
"1","1_1320_1",0,0.0101816750201976,0.663973786638199,1.08076964125526,0.10434918967011,0.148343358310768,0.258497100593146,0.417547146020933,0.455617221805177,2,FALSE
"2","1_1357_1",0,0.010799040425102,0.657890073720417,1.06851068186629,0.103870360217887,0.150603746599363,0.259953550562394,0.347799329864135,0.48338976828404,2,FALSE
"3","1_1434_1",0,0.0174257254948216,0.635530849556103,1.03841028851395,0.10133721088507,0.0588669634071678,0.179042272388206,0.158937116956966,0.402206962917621,1,TRUE
"4","1_1440_1",0,0.0105141297938561,0.662069176987469,1.07803045787033,0.104326699110026,0.151512046066152,0.258244068206552,0.421851476399503,0.459219133118332,2,FALSE
"5","1_1547_1",0,0.0110375917947349,0.661110999266086,1.07357085615005,0.104084868850804,0.135807786339349,0.253803577491584,0.35037395920495,0.466932962928298,2,FALSE
"6","1_1620_1",0,0.0111219825195425,0.654415329347505,1.06524474631247,0.103656052533374,0.16826559062914,0.273480995346234,0.456062657075973,0.488565434791062,2,FALSE
"7","1_1689_1",0,0.0594373976082071,0.625153365805206,1.06212675504949,0.100148101723408,0.00381909214366813,0.0597430139039729,0,0,1,FALSE
"8","1_1694_1",0,0.0261336700828412,0.629680503570213,1.05597109553459,0.101196528211076,0.0190635228959872,0.120696007917944,0.0245481579266716,0.173828156495281,1,FALSE
"9","1_1702_1",0,0.094888652510154,0.624622342899802,1.06092465741618,0.100649596601643,0.0334925563847834,0.0382148524137356,0,0.114179970223826,1,FALSE
"10","1_1707_1",0,0.0333394155642158,0.628645785981268,1.03825523126123,0.100759039715689,0.0340557680723275,0.149220638219563,0,0.312373081414167,1,FALSE
"11","1_1754_1",0,0.0261188200303586,0.629680654337434,1.05595781033467,0.1011963568409,0.019049441359417,0.120772551859689,0.0245038281353852,0.173841746387244,1,FALSE
"12","1_1762_1",0,0.116452655938981,0.624023964819157,1.07093462866952,0.100337074478669,0.0174413278835389,0.00338059975474076,0,0.00220763174379513,1,FALSE
"13","1_1794_1",0,0.0347819262064546,0.626272621355954,1.0458572975612,0.100343905817162,0.0342571293514756,0.135274574098591,0,0.0834741569149402,1,FALSE
"14","1_1814_1",0,0.0253745218563805,0.63113061065544,1.05784561801382,0.101407403431345,0.0190345198444816,0.118028764459233,0.0466848802035675,0.199296940394915,1,FALSE
"15","1_1822_1",0,0.0960015407118483,0.62461204459775,1.06183376731256,0.100680421772575,0.0343609071388972,0.037538955748008,0,0.111764421982566,1,FALSE
"16","1_1847_1",0,0.0112390592680118,0.661660032417358,1.07500099831578,0.104013862731486,0.134814479637884,0.239602507130357,0.35079096763145,0.453308359377139,2,FALSE
"17","1_1864_1",0,0.0192865010345517,0.633275607907556,1.0627822838058,0.101673321339335,0.00566144247168962,0.12105582235249,0.0974490234119418,0.19012711325263,1,FALSE
"18","1_1874_1",0,0.0334789572524606,0.625583933578745,1.04992369505505,0.100623185565738,0.0124901393876995,0.130712883749958,0,0.100000041094412,1,FALSE
"19","1_1882_1",0,0.0886415174256212,0.624852636401045,1.0627839214196,0.100716863157869,0.0290891043835247,0.0421809209306151,0,0.0903445751689467,1,FALSE
"20","1_1888_1",0,0.0226506791534774,0.631503454099443,1.04504876877487,0.101224392025739,0.0592541325876036,0.172033628284847,0.0538972922153889,0.250747117645718,1,FALSE
"21","1_1904_1",0,0.0338229698926574,0.624754834055318,1.05048955523601,0.100602041991119,0.0123138289857182,0.131513412116115,0,0.0638975659626236,1,FALSE
"22","1_1963_1",0,0.013017211888137,0.638587472624608,1.04180446034074,0.101882713103727,0.0908018022739184,0.200450776138451,0.295404319314214,0.437309590008684,2,TRUE
"23","1_1983_1",0,0.0334789628013229,0.628399165085268,1.0437456602657,0.100995875855535,0.0723688452330551,0.178527573399937,0,0.1725326421329,1,FALSE
"24","1_1985_1",0,0.0115745081851521,0.651326630943228,1.06232678797134,0.103450802167872,0.151388463657398,0.269560538129508,0.314999723362065,0.465779685515867,2,FALSE
"25","1_1994_1",0,0.0335994183252784,0.625902028468062,1.04963502780919,0.10063923320313,0.0128192425060799,0.133934644627416,0,0.109865664201288,1,FALSE
"26","1_1999_1",0,0.0365768293204323,0.62551226164182,1.04302550202051,0.100720126874079,0.0213992398160437,0.118851902177978,0,0.305006624574367,1,FALSE
"27","2_1134_1",0,0.00679242584279183,0.9405091558944,1.14143651922512,0.107103352776949,0.187845120372795,0.286698383088005,0.422165683524079,0.363629366724132,2,FALSE
"28","2_1145_1",0,0.0075900158645885,0.860447169089969,1.2369380313528,0.109615008108714,0.670364835328807,0.719527400135169,0.538699170313777,0.942130747916101,3,FALSE
"29","2_1254_1",0,0.00669349413841955,0.95857790704759,1.16820010945887,0.107607579039901,0.195353933490876,0.297474944202313,0.471118849515934,0.370464020099718,2,FALSE
"30","2_1753_1",0,0.00415170911798732,1.12665294305393,1.20596959333928,0.106544280890622,0.422508028354853,0.506617217707963,0.662913719573605,0.449047691036443,2,FALSE
"31","2_1933_1",0,0.0047634453560544,1.12663414072039,1.20443474350188,0.106454925653174,0.423630787643313,0.509191886775439,0.680198620298528,0.435550479594476,2,FALSE
"32","2_727_1",0,0.00497213707133628,1.12934878860648,1.20069107972933,0.10641882897964,0.388411129276653,0.47894799853815,0.639189665094135,0.464687056326462,2,FALSE
"33","2_817_1",0,0.00472601154977168,1.13013821046253,1.20612573154842,0.106555386573656,0.467578786566935,0.532754616828064,0.657895463820885,0.489178036150387,2,FALSE
"34","2_928_1",0,0.00618136021530321,1.09221426191838,1.21616882163342,0.106967548024812,0.424064847096126,0.511402602335857,0.664450723879104,0.578264343058538,2,FALSE
"35","3_1027_1",0,0.00622650707703714,0.704404806198792,1.11532391137337,0.107468428840236,0.663738947154019,0.70166538285409,0.649754235944812,0.846582913046185,3,FALSE
"36","3_1057_1",0,0.00619316080802871,0.704419195642608,1.11532429841623,0.107467304681684,0.663624375308411,0.701726200861321,0.650114611771374,0.846729411947025,3,FALSE
"37","3_1158_1",0,0.00550769592543172,0.722923520614577,1.13580485847233,0.108631767058977,0.974094290490067,1,0.744850697061422,0.894097095724383,3,FALSE
"38","3_1170_1",0,0.00886251580446025,0.708900573163889,1.13280670689566,0.107304555428382,0.920179977594382,0.922936752238941,0.618315192957345,0.867185739160542,3,FALSE
"39","3_1178_1",0,0.0070361538719946,0.700651352069813,1.10954676480673,0.107268079899967,0.563682591794782,0.620757277368742,0.527361076194494,0.814718344267648,3,FALSE
"40","3_1208_1",0,0.0101497576767583,0.708206409013902,1.12447691961089,0.108002189133542,0.553792535070318,0.596050507012305,0.588880074125345,0.848321804910264,3,FALSE
"41","3_1222_1",0,0.00549229071098126,0.725483819107454,1.14532114429595,0.108166696282703,0.590671213166827,0.65810959877074,0.723691883002429,0.81719006761633,3,FALSE
"42","3_1268_1",0,0.00820286193750891,0.695247864746663,1.10292469972778,0.106842745545087,0.573399016817676,0.636836510311247,0.473668949562215,0.80413347811229,3,FALSE
"43","3_1298_1",0,0.00556198399672137,0.697929545575246,1.11342048597962,0.107265056020977,0.545732918973119,0.620573177026235,0.645894039961674,0.796309950871174,3,FALSE
"44","3_1328_1",0,0.00602062049353038,0.704477399400224,1.11937218730864,0.107709497486404,0.537587575480687,0.605237673826511,0.577685055983556,0.814686329391242,3,FALSE
"45","3_1621_1",0,0.00800684403345527,0.691196299012359,1.10222266822708,0.106748644420304,0.48577289803646,0.572645066344381,0.543228942477458,0.809360487099315,3,FALSE
"46","3_1779_1",0,0.0107826674222861,0.677585308394,1.08009407185183,0.105432227245528,0.293569600019431,0.401506240157221,0.416318439765964,0.655657495165243,2,FALSE
"47","3_1812_1",0,0.00499940168195729,0.715017423814076,1.12631962379803,0.107678899830489,0.844044456819337,0.899792188485629,0.889392319794976,0.885065206147973,3,FALSE
"48","3_1913_1",0,0.00806612229698328,0.688675550443688,1.1020138512888,0.106195532565676,0.561758585397457,0.608064456223291,0.577867957142114,0.794833855554619,3,TRUE
"49","3_506_1",0,0.00724744697816818,0.784373366367555,1.21546557452747,0.112816327667642,0.802252933689342,0.850757375852888,1,0.892320759417147,3,FALSE
"50","3_552_1",0,0.0036957729700887,0.844421407030862,1.26801376609749,0.110795758200216,0.696036529500791,0.745842858058115,0.724020881082583,0.880906226088521,3,FALSE
"51","3_734_1",0,0.00211789707020481,0.723090038011996,1.13702032823914,0.108776606585096,0.861313795690403,0.892395404609592,0.785719462445751,0.946473835725078,3,FALSE
"52","3_764_1",0,0.0057218273791193,0.713408370906844,1.12835687064898,0.108176794733792,0.867149062558762,0.917540304664003,0.739911337818643,0.918342749911346,3,FALSE
"53","3_794_1",0,0.00799089587570103,0.71582901479571,1.13554837442094,0.108264110882715,0.855169769961865,0.918537020617148,0.746047092781924,0.911966934133939,3,FALSE
"54","3_914_1",0,0.00773551205834983,0.714853707406368,1.13358837046543,0.108135678283459,0.855795454231774,0.916738265643902,0.733985299365061,0.898076361353367,3,FALSE
