"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",26970.7252051493,17315205.5817058,0.953283523225306,26970.7252051493,0.939984452831698,17315205.5817058,0.953283523225306,26970.7252051493,0.939984452831698,TRUE,0.6158645,0.0465717844440543,-0.500334278172726,-0.878710922332313,0.159653472850187,2.84471750581205,2.48460029336977,2.84471750581205,0.106525486774808,0,975734.459052369,0.678866,1437232.53871745,1e-04,"1_5_1",1,5,1,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.6158645,0.0465717844440543,-0.500334278172726,-0.878710922332313,0.159653472850187,2.84471750581205,2.48460029336977,2.84471750581205,0.106525486774808,0,975734.459052369,0.678866,1437232.53871745,1e-04,"1_5_1",1,5,1,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"3","season",0.0175821523827938,8788.91487875611,0.000483871109783412,13.6898985650407,0.000477120719376295,8788.91487875611,0.000483871109783412,13.6898985650407,0.000477120719376295,TRUE,0.6158645,0.0465717844440543,-0.500334278172726,-0.878710922332313,0.159653472850187,2.84471750581205,2.48460029336977,2.84471750581205,0.106525486774808,0,975734.459052369,0.678866,1437232.53871745,1e-04,"1_5_1",1,5,1,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.0261706362157268,9118.78909567269,0.000502032237252535,414.490413439668,0.014445831230622,9118.78909567269,0.000502032237252535,414.490413439668,0.014445831230622,TRUE,0.6158645,0.0465717844440543,-0.500334278172726,-0.878710922332313,0.159653472850187,2.84471750581205,2.48460029336977,2.84471750581205,0.106525486774808,0,975734.459052369,0.678866,1437232.53871745,1e-04,"1_5_1",1,5,1,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"5","fb_paid_spend",1144.83438518797,240269.6799418,0.0132279761818786,374.251837915577,0.0130434352954353,240269.6799418,0.0132279761818786,374.251837915577,0.0130434352954353,TRUE,0.6158645,0.0465717844440543,-0.500334278172726,-0.878710922332313,0.159653472850187,2.84471750581205,2.48460029336977,2.84471750581205,0.106525486774808,0,975734.459052369,0.678866,1437232.53871745,1e-04,"1_5_1",1,5,1,5,8,1093688.54,1703.56470404984,1929.79017245479,226.225468404943,371.705522840044,0.336782364327564,0.31740512746032,0.218192782438141,0.2196874806257,4.55192074282914,2,FALSE,0.349718693651018,0.0112240423389235,0.149284466311552,0.551342476063002,0.0835839315076385
"6","google_paid_spend",2212.49396284665,444084.83297468,0.0244489591643254,691.720923636573,0.0241078765576768,444084.83297468,0.0244489591643254,691.720923636573,0.0241078765576768,TRUE,0.6158645,0.0465717844440543,-0.500334278172726,-0.878710922332313,0.159653472850187,2.84471750581205,2.48460029336977,2.84471750581205,0.106525486774808,0,975734.459052369,0.678866,1437232.53871745,1e-04,"1_5_1",1,5,1,5,8,2017462.48,3142.46492211838,3362.97743328005,220.512511161666,723.49892457015,0.621242482760724,0.586652477531356,0.230232935768915,0.220120491645862,4.54296641136363,2,FALSE,0.292251160291861,0.0138759685722415,0.0440549521520416,0.541107986973735,0.157982003703576
"7","pinterest_paid_spend",466.994888060429,72626.5789275298,0.00399843482730488,113.125512348177,0.00394265345173608,72626.5789275298,0.00399843482730488,113.125512348177,0.00394265345173608,TRUE,0.6158645,0.0465717844440543,-0.500334278172726,-0.878710922332313,0.159653472850187,2.84471750581205,2.48460029336977,2.84471750581205,0.106525486774808,0,975734.459052369,0.678866,1437232.53871745,1e-04,"1_5_1",1,5,1,5,8,74516.54,116.06937694704,124.024298449997,7.95492150295657,83.4369413576102,0.0229460724921828,0.0959423950083233,0.718854047055671,0.974637025921089,1.02602299461683,2,FALSE,1.50595007264207,0.0514589169815808,0.584860195065323,2.42817734594876,0.0328665819520251
"8","mountain_paid_spend",0,0,0,0,0,0,0,0,0,TRUE,0.6158645,0.0465717844440543,-0.500334278172726,-0.878710922332313,0.159653472850187,2.84471750581205,2.48460029336977,2.84471750581205,0.106525486774808,0,975734.459052369,0.678866,1437232.53871745,1e-04,"1_5_1",1,5,1,5,8,61796.25,96.2558411214953,96.2558411214953,0,0,0.019029080419529,0,0,0,Inf,2,FALSE,0.621914260575599,0.0426593695332076,0,1.38552612745484,0
"9","fb_organic_total_impressions",850.821806655599,73657.7065589296,0.00405520325414898,114.731630154096,0.00399862991345508,73657.7065589296,0.00405520325414898,114.731630154096,0.00399862991345508,TRUE,0.6158645,0.0465717844440543,-0.500334278172726,-0.878710922332313,0.159653472850187,2.84471750581205,2.48460029336977,2.84471750581205,0.106525486774808,0,975734.459052369,0.678866,1437232.53871745,1e-04,"1_5_1",1,5,1,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,0.034181604342947
"10","(Intercept)",28362.3314110697,18208616.7659068,0.920807408155583,28362.3314110697,0.897340189931228,18208616.7659068,0.920807408155583,28362.3314110697,0.897340189931228,TRUE,0.7070825,0.097694274069252,0.11138282010414,-0.841657816482108,0.164291348358998,1.92441670737708,2.32782491667383,1.92441670737708,0.174627561611246,0,612148.114562453,0.425864,1437232.53871745,1e-04,"1_7_1",1,7,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"11","trend",0.00548640539833482,97849.8786863872,0.00494825578130968,152.414141256055,0.00482214711056981,97849.8786863872,0.00494825578130968,152.414141256055,0.00482214711056981,TRUE,0.7070825,0.097694274069252,0.11138282010414,-0.841657816482108,0.164291348358998,1.92441670737708,2.32782491667383,1.92441670737708,0.174627561611246,0,612148.114562453,0.425864,1437232.53871745,1e-04,"1_7_1",1,7,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"12","season",0.0294898044406716,14741.2771415785,0.000745464489266165,22.9614908747328,0.000726465969387662,14741.2771415785,0.000745464489266165,22.9614908747328,0.000726465969387662,TRUE,0.7070825,0.097694274069252,0.11138282010414,-0.841657816482108,0.164291348358998,1.92441670737708,2.32782491667383,1.92441670737708,0.174627561611246,0,612148.114562453,0.425864,1437232.53871745,1e-04,"1_7_1",1,7,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"13","holiday",0.04079105273672,14213.0670355307,0.000718752972133125,646.04850161503,0.0204399728901606,14213.0670355307,0.000718752972133125,646.04850161503,0.0204399728901606,TRUE,0.7070825,0.097694274069252,0.11138282010414,-0.841657816482108,0.164291348358998,1.92441670737708,2.32782491667383,1.92441670737708,0.174627561611246,0,612148.114562453,0.425864,1437232.53871745,1e-04,"1_7_1",1,7,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"14","fb_paid_spend",2304.36151709269,343004.238595037,0.0173456802341211,534.27451494554,0.0169036172579779,343004.238595037,0.0173456802341211,534.27451494554,0.0169036172579779,TRUE,0.7070825,0.097694274069252,0.11138282010414,-0.841657816482108,0.164291348358998,1.92441670737708,2.32782491667383,1.92441670737708,0.174627561611246,0,612148.114562453,0.425864,1437232.53871745,1e-04,"1_7_1",1,7,1,7,7,1093688.54,1703.56470404984,2093.23328896702,389.668584917175,454.454866451034,0.336782364327564,0.286587994486225,0.26676701235396,0.313621498306124,3.18855692419372,2,FALSE,0.349718693651018,0.0112240423389235,0.149284466311552,0.551342476063002,0.0945767305135839
