"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"fb_paid_spend","1_92_1","revenue","fb_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,746.791733333333,1.4,1493.58346666667,3,0.0999999999999999,106.684533333333,2.2,2347.05973333333,1093688.54,3247463.81,1703.56470404984,5058.35484423676,0.336782364327564,32005.36,81941.6,1066.84533333333,2731.38666666667,0.390587442764115,1066.84533333333,2731.38666666667,0.390587442764115,81941.6,377.038372164355,1120.88356583609,0.432081244187316,33626.5069750826,0.336376037312239,0.353414277012683,2.82954047146237,2731.38666666667,0,1493.58346666667,0.4,2731.3866666663,-1.33226762955019e-13,0.546822419869834,81941.5999999891,1556.93146568431,0.459378803129519,2731.38666666318,-1.27609034450415e-12,0.570015034739241,81941.5999998954,552.146249954642,0.383443632400713,1159.67565791633,34790.26973749,0.476121272517455,0.36967887116942,2.70505045862281,0.464429858385753,576.154106511154,0.374342229988542,1187.64993400462,35629.4980201385,0.485121153982158,0.370057461879299,2.70228303172594,0.528104694500436,0.034608493926227,0.0595658373479027
"google_paid_spend","1_92_1","revenue","google_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,1130.36676666667,1.4,2260.73353333333,3,0.0999999999999999,161.480966666666,2.2,3552.58126666667,2017462.48,3247463.81,3142.46492211838,5058.35484423676,0.621242482760724,48444.29,81941.6,1614.80966666667,2731.38666666667,0.591205077762699,1614.80966666667,2731.38666666667,0.591205077762699,81941.6,731.365591118564,1120.88356583609,0.312629943918637,33626.5069750826,0.652490243777484,0.452911328322841,2.20793770759293,2731.38666666667,0,1168.1788666663,-0.276584175348858,2731.3866666663,-1.33226762955019e-13,0.427687108867703,81941.5999999891,1065.0455343122,-0.340451350832759,2731.38666666318,-1.27609034450415e-12,0.389928510419699,81941.5999998954,581.490429394482,0.360823303799521,1159.67565791633,34790.26973749,0.50142505400112,0.497775166104411,2.00893911165959,-0.204925092927683,543.583028675475,0.374346545072967,1187.64993400462,35629.4980201385,0.45769634057283,0.51038477808042,1.95930608228765,-0.256756080301631,0.034608493926227,0.0595658373479027
"mountain_paid_spend","1_92_1","revenue","mountain_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,67.3790887850467,1.4,134.758177570093,3,0.0999999999999999,9.62558411214952,2.2,211.76285046729,61796.25,3247463.81,96.2558411214953,5058.35484423676,0.019029080419529,0,81941.6,0,2731.38666666667,0,0,2731.38666666667,0,81941.6,3.49950656418765e-53,1120.88356583609,0.0114057743450638,33626.5069750826,3.12209641647953e-56,Inf,0,2731.38666666667,0,0,NA,2731.3866666663,-1.33226762955019e-13,0,81941.5999999891,0,NA,2731.38666666318,-1.27609034450415e-12,0,81941.5999998954,3.49950656418765e-53,0.0114057743450638,1159.67565791633,34790.26973749,3.01765975710436e-56,Inf,0,0,3.49950656418765e-53,0.0114057743450638,1187.64993400462,35629.4980201385,2.94658086022682e-56,Inf,0,0,0.034608493926227,0.0595658373479027
"pinterest_paid_spend","1_92_1","revenue","pinterest_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,34.8121666666667,1.4,69.6243333333333,3,0.0999999999999999,4.97316666666666,2.2,109.409666666667,74516.54,3247463.81,116.06937694704,5058.35484423676,0.0229460724921828,1491.95,81941.6,49.7316666666667,2731.38666666667,0.0182074794731858,49.7316666666667,2731.38666666667,0.0182074794731858,81941.6,12.4796025531682,1120.88356583609,0.557977209700171,33626.5069750826,0.0111337189102772,0.250938755719056,3.98503609828834,2731.38666666667,0,69.6243333333333,0.4,2731.3866666663,-1.33226762955019e-13,0.0254904712624635,81941.5999999891,109.409666666667,1.2,2731.38666666318,-1.27609034450415e-12,0.0400564548410598,81941.5999998954,26.0389785672094,0.817534637258319,1159.67565791633,34790.26973749,0.0224536734814244,0.373992501192726,2.67385040291137,1.08652306483902,67.9127988179871,1.27959204992942,1187.64993400462,35629.4980201385,0.0571825054450119,0.620720278994121,1.61103162542152,4.4419039812086,0.034608493926227,0.0595658373479027
