"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",26849.0580634094,17237095.2767088,0.846781658318365,26849.0580634094,0.813271728311509,17237095.2767088,0.846781658318365,26849.0580634094,0.813271728311509,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"2","trend",0.033276337846271,593482.505389249,0.0291551501009282,924.427578487927,0.0280013851018591,593482.505389249,0.0291551501009282,924.427578487927,0.0280013851018591,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"3","season",0.0471016037918696,23545.0118601383,0.00115666148315566,36.6744733023961,0.00111088859121662,23545.0118601383,0.00115666148315566,36.6744733023961,0.00111088859121662,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"4","holiday",0.0648958670243568,22612.0496153744,0.00111082920665621,1027.82043706247,0.0311332077747216,22612.0496153744,0.00111082920665621,1027.82043706247,0.0311332077747216,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,NA
"5","fb_paid_spend",3962.32981059859,505061.444671907,0.0248114175159103,786.70006958241,0.0238295482746938,505061.444671907,0.0248114175159103,786.70006958241,0.0238295482746938,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,1093688.54,1703.56470404984,1819.02969769964,115.464993649793,717.237347390181,0.336782364327564,0.27943915918317,0.421021488461876,0.461796412964067,2.16545640443901,4,TRUE,0.415522436281728,0.0296659939374937,0.131249090133341,0.698408628826525,0.0117632585209138
"6","google_paid_spend",6270.85360378146,1091877.11191122,0.0536390555752955,1700.74316497074,0.0515163820616396,1091877.11191122,0.0536390555752955,1700.74316497074,0.0515163820616396,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,2017462.48,3142.46492211838,3471.2168092911,328.751887172723,1742.15886718483,0.621242482760724,0.604111094407577,0.554392462720129,0.541213094536071,1.84770104436812,4,TRUE,0.458646652904375,0.0349975072211307,0.123478306952081,0.7925666271604,0.204331125720108
"7","pinterest_paid_spend",1250.45292188101,129566.050938208,0.00636500255489483,201.81627871995,0.00611311850897494,129566.050938208,0.00636500255489483,201.81627871995,0.00611311850897494,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,74516.54,116.06937694704,128.943469941093,12.874092994053,107.110458019999,0.0229460724921828,0.0716859873482841,0.922814103403608,1.73875559625028,0.575123957706624,4,TRUE,1.59462678733932,0.117792382766818,0.463481236860483,2.71545612812359,0.0566094941266519
"8","mountain_paid_spend",1238.03445212336,80906.5160601157,0.00397457650133888,361.189803839802,0.010940624260395,80906.5160601157,0.00397457650133888,361.189803839802,0.010940624260395,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,61796.25,96.2558411214953,96.2558411214953,0,154.988486107974,0.019029080419529,0.0447637590609693,1.61017226905062,1.30924637110044,0.76379818349963,4,TRUE,0.839904677833175,0.101705295808035,0,1.8085579406993,0.409598570555799
"9","fb_organic_total_impressions",1741.37471125585,154290.410491546,0.00757960013339314,240.327742198669,0.00727965047405077,154290.410491546,0.00757960013339314,240.327742198669,0.00727965047405077,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,0.0452491114234754
"10","instagram_organic_total_impressions",2431.13655125446,336422.46675474,0.016526936222199,524.022533885888,0.0158729111017996,336422.46675474,0.016526936222199,524.022533885888,0.0158729111017996,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,0.204758047107836
"11","google_organic_total_impressions",2470.21509278079,181150.414160327,0.00889911238786334,360.85739872575,0.0109305555391398,181150.414160327,0.00889911238786334,360.85739872575,0.0109305555391398,TRUE,0.7694333,0.16075816733022,-1.01318329860282,-0.562376293064323,0.157367160214183,1.67384034487172,1.97153435438583,1.67384034487172,0.0813608052325977,0,363612.22646092,0.25292,1437232.53871745,1e-04,"1_97_1",1,97,1,97,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,NA,NA,NA,NA,0.0176285324359434
"12","(Intercept)",16504.8055356411,10596085.1538816,0.552506219757737,16504.8055356411,0.424389484272618,10596085.1538816,0.552506219757737,16504.8055356411,0.424389484272618,TRUE,0.7541009,0.601587609057994,0.706321022974558,0.436386488162309,0.109146897077936,0.772392982925424,1.2137157448669,0.772392982925424,0.0948449878995862,0,19754.3809385693,0.0136461,1437232.53871745,1e-04,"1_98_1",1,98,1,98,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"13","trend",0,0,0,0,0,0,0,0,0,TRUE,0.7541009,0.601587609057994,0.706321022974558,0.436386488162309,0.109146897077936,0.772392982925424,1.2137157448669,0.772392982925424,0.0948449878995862,0,19754.3809385693,0.0136461,1437232.53871745,1e-04,"1_98_1",1,98,1,98,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
