"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","fb_paid_spend",1,22,1.74306285477846,0.0691219293955067,"[1.07, 2.42]",1.07100944236977,2.41947509297688,0.316756473636303,0.0200199858371688
"2","fb_paid_spend",2,27,0.92272866205641,0.0292189839997513,"[0.61, 1.24]",0.611039909543828,1.23520674535071,0.148988169582087,0.00931457752496021
"3","fb_paid_spend",3,8,3.70216357318991,0.217342996967184,"[2.25, 5.16]",2.25419967606374,5.16145235821205,0.575035519176636,0.0409830678838543
"4","fb_paid_spend",4,21,0.415522436281728,0.0296659939374937,"[0.13, 0.7]",0.131249090133341,0.698408628826525,0.132670358128665,0.00840909348434864
"5","fb_paid_spend",5,12,2.46410446097925,0.160321210549876,"[1.24, 3.68]",1.23693369473103,3.6816513928001,0.531725301329507,0.0354360434416978
"6","fb_paid_spend",6,18,1.32451490862974,0.0458808593890401,"[0.92, 1.74]",0.915147277016326,1.7365238026461,0.189171629455124,0.0121183816620204
"7","google_paid_spend",1,22,1.65841521072839,0.114599225108956,"[0.54, 2.78]",0.540743707347898,2.77640350442041,0.525159623645076,0.0331917075188148
"8","google_paid_spend",2,27,0.976701906734915,0.045040676838261,"[0.5, 1.46]",0.496073934792737,1.45821884527207,0.229663290103719,0.014358297885725
"9","google_paid_spend",3,8,3.34189696682781,0.193561329110237,"[2.04, 4.63]",2.04478316787891,4.6339242999527,0.512115140264815,0.0364987011374084
"10","google_paid_spend",4,21,0.458646652904375,0.0349975072211307,"[0.12, 0.79]",0.123478306952081,0.7925666271604,0.156513610378976,0.00992035899965931
"11","google_paid_spend",5,12,2.80662108462283,0.35377828876272,"[0.12, 5.52]",0.121145893344933,5.51586591051785,1.17334984279995,0.0781961586138668
"12","google_paid_spend",6,18,1.35942085315532,0.0679470309606616,"[0.75, 1.97]",0.751518851527121,1.96793233986424,0.280152785597921,0.0179466571669996
"13","mountain_paid_spend",1,22,4.16760050234,0.0696738684822542,"[3.49, 4.85]",3.48830367009107,4.84753682829259,0.319285776280328,0.0201798455632543
"14","mountain_paid_spend",2,27,2.26011816332763,0.079098410392136,"[1.42, 3.1]",1.41524120670673,3.10491681391588,0.403324338083672,0.0252153968017827
"15","mountain_paid_spend",3,8,4.29204443144502,0.468626475309911,"[1.15, 7.41]",1.14560765640926,7.41411226102806,1.23986911145078,0.0883660891668722
"16","mountain_paid_spend",4,21,0.839904677833175,0.101705295808035,"[0, 1.81]",0,1.8085579406993,0.45483991019698,0.0274569470817501
"17","mountain_paid_spend",5,12,4.25990968028583,0.224009127154385,"[2.56, 5.98]",2.56355142110455,5.97943803900754,0.742954224386108,0.0495130814815677
"18","mountain_paid_spend",6,18,3.3056078033502,0.133769410369335,"[2.11, 4.5]",2.10874885591009,4.50353951562809,0.551545408429362,0.0353321361270376
"19","pinterest_paid_spend",1,22,8.04174288890964,0.348423159497048,"[4.65, 11.45]",4.65230705263777,11.4495227346455,1.5966755022709,0.100914815015652
"20","pinterest_paid_spend",2,27,3.8017774427893,0.161735189049465,"[2.07, 5.53]",2.0744810368897,5.52941777214691,0.824690884997842,0.0515587727803323
"21","pinterest_paid_spend",3,8,11.9046028104496,0.715407257118174,"[7.09, 16.66]",7.08960013920984,16.6591270901941,1.89278968846553,0.134900063918337
"22","pinterest_paid_spend",4,21,1.59462678733932,0.117792382766818,"[0.46, 2.72]",0.463481236860483,2.71545612812359,0.52678355019656,0.0333893130470326
"23","pinterest_paid_spend",5,12,1.94074761099709,0.614584375364703,"[0, 6.63]",0,6.63296562265738,2.03834577509966,0.108178355281381
"24","pinterest_paid_spend",6,18,5.38755761593702,0.282872318433787,"[2.85, 7.92]",2.85284127289421,7.9169286767907,1.16631244746586,0.0747142656447294
