"","solID","dep_var_type","channels","date_min","date_max","periods","constr_low","constr_low_abs","constr_up","constr_up_abs","unconstr_mult","constr_low_unb","constr_low_unb_abs","constr_up_unb","constr_up_unb_abs","histSpendAll","histSpendAllTotal","histSpendAllUnit","histSpendAllUnitTotal","histSpendAllShare","histSpendWindow","histSpendWindowTotal","histSpendWindowUnit","histSpendWindowUnitTotal","histSpendWindowShare","initSpendUnit","initSpendUnitTotal","initSpendShare","initSpendTotal","initResponseUnit","initResponseUnitTotal","initResponseMargUnit","initResponseTotal","initResponseUnitShare","initRoiUnit","initCpaUnit","total_budget_unit","total_budget_unit_delta","optmSpendUnit","optmSpendUnitDelta","optmSpendUnitTotal","optmSpendUnitTotalDelta","optmSpendShareUnit","optmSpendTotal","optmSpendUnitUnbound","optmSpendUnitDeltaUnbound","optmSpendUnitTotalUnbound","optmSpendUnitTotalDeltaUnbound","optmSpendShareUnitUnbound","optmSpendTotalUnbound","optmResponseUnit","optmResponseMargUnit","optmResponseUnitTotal","optmResponseTotal","optmResponseUnitShare","optmRoiUnit","optmCpaUnit","optmResponseUnitLift","optmResponseUnitUnbound","optmResponseMargUnitUnbound","optmResponseUnitTotalUnbound","optmResponseTotalUnbound","optmResponseUnitShareUnbound","optmRoiUnitUnbound","optmCpaUnitUnbound","optmResponseUnitLiftUnbound","optmResponseUnitTotalLift","optmResponseUnitTotalLiftUnbound"
"fb_paid_spend","1_196_1","revenue","fb_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,746.791733333333,1.4,1493.58346666667,3,0.0999999999999999,106.684533333333,2.2,2347.05973333333,1093688.54,3247463.81,1703.56470404984,5058.35484423676,0.336782364327564,32005.36,81941.6,1066.84533333333,2731.38666666667,0.390587442764115,1066.84533333333,2731.38666666667,0.390587442764115,81941.6,761.46777124486,2439.25385677219,1.80436823763353,73177.6157031658,0.312172416630917,0.713756481331433,1.40103806572041,3333.33333333333,0.220381344762612,1493.58346666667,0.4,3333.3333333327,0.22038134476238,0.448075040000085,99999.999999981,2347.05973333333,1.2,3333.33333333563,0.220381344763454,0.704117919999514,100000.000000069,1762.31356160235,2.89272518191842,4856.41834228987,145692.550268696,0.362883392119674,1.17992305146188,0.847512893964597,1.31436395360672,5074.58752307006,4.73065200467408,7167.56059751782,215026.817925535,0.707993668700538,2.16210412159517,0.462512415573314,5.66421838809284,0.990944209765956,1.93842339435817
"google_paid_spend","1_196_1","revenue","google_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,1130.36676666667,1.4,2260.73353333333,3,0.0999999999999999,161.480966666666,2.2,3552.58126666667,2017462.48,3247463.81,3142.46492211838,5058.35484423676,0.621242482760724,48444.29,81941.6,1614.80966666667,2731.38666666667,0.591205077762699,1614.80966666667,2731.38666666667,0.591205077762699,81941.6,1677.78608552733,2439.25385677219,1.54239822179602,73177.6157031658,0.687827583369083,1.03899928280134,0.962464571971418,3333.33333333333,0.220381344762612,1704.99168909594,0.0558468433096699,3333.3333333327,0.22038134476238,0.511497506728879,99999.999999981,774.510749535011,-0.520370254450002,3333.33333333563,0.220381344763454,0.232353224860343,100000.000000069,1818.62423037097,1.58115194867287,4856.41834228987,145692.550268696,0.374478494682866,1.06664697664027,0.937517306006721,0.0839428494839212,563.288145567929,1.07381064180072,7167.56059751782,215026.817925535,0.0785885431876223,0.727282540501997,1.37498144711375,-0.664267006129756,0.990944209765956,1.93842339435817
"mountain_paid_spend","1_196_1","revenue","mountain_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,67.3790887850467,1.4,134.758177570093,3,0.0999999999999999,9.62558411214952,2.2,211.76285046729,61796.25,3247463.81,96.2558411214953,5058.35484423676,0.019029080419529,0,81941.6,0,2731.38666666667,0,0,2731.38666666667,0,81941.6,4.04977968090577e-17,2439.25385677219,78.3390010041371,73177.6157031658,1.66025347040539e-20,Inf,0,3333.33333333333,0.220381344762612,134.758177570093,Inf,3333.3333333327,0.22038134476238,0.0404274532710357,99999.999999981,211.76285046729,Inf,3333.33333333563,0.220381344763454,0.0635288551401431,100000.000000069,1275.48055031655,4.00605836675777,4856.41834228987,145692.550268696,0.26263811319746,9.46495844122793,0.105652867491119,31495060245629808640,1529.68492887982,2.73304992414296,7167.56059751782,215026.817925535,0.213417788111839,7.22357545482752,0.13843559969069,37772053035183759360,0.990944209765956,1.93842339435817
"pinterest_paid_spend","1_196_1","revenue","pinterest_paid_spend",2023-12-31,2024-01-29,"30 days",0.7,34.8121666666667,1.4,69.6243333333333,3,0.0999999999999999,4.97316666666666,2.2,109.409666666667,74516.54,3247463.81,116.06937694704,5058.35484423676,0.0229460724921828,1491.95,81941.6,49.7316666666667,2731.38666666667,0.0182074794731858,49.7316666666667,2731.38666666667,0.0182074794731858,81941.6,0,2439.25385677219,0,73177.6157031658,0,0,Inf,3333.33333333333,0.220381344762612,0,-1,3333.3333333327,0.22038134476238,0,99999.999999981,0,-1,3333.33333333563,0.220381344763454,0,100000.000000069,0,0,4856.41834228987,145692.550268696,0,NA,NA,NA,0,0,7167.56059751782,215026.817925535,0,NA,NA,NA,0.990944209765956,1.93842339435817
